"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0019L44S","2004","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      1.0","","       1.0","T","        68","T","        68","T","         6","T","      205","","         0","T","       180","T","        38","T","        35","T","         0","T","  -16.9","T,0103, ","  2083"," ,T,0226, ","  35.6"," ,T,1230,+","   25.7","T,0811, ","-3.2","T,0919","-3.2","T,0919","-8.1","T,1020","-8.1","T,1020","-9.4","T,1027","-0.2","T,0610","-3.4","T,0609","-4.9","T,0512","-8.5","T,0418","-9.2","T,0326","","","","","    568.3"," ,T","      5.59","T","     10.66","T","      0.53","T"
"USS0019L44S","2005","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      9.4","","       9.4","T","       102","T","       102","T","         6","T","      197","","         0","T","       180","T","        25","T","        47","T","         0","T","  -13.4","T,1203, ","  2210"," ,T,0323, ","  53.3"," ,T,1201, ","   26.0","T,0717, ","-1.4","T,0910","-2.9","T,1003","-5.1","T,1004","-10.4","T,1126","-10.4","T,1126","-2.2","T,0618","-2.2","T,0618","-6.8","T,0607","-6.8","T,0607","-9.1","T,0510","    4847.2","2","    4847.2","T","    839.2"," ,T","      5.51","T","     10.49","T","      0.54","T"
"USS0019L44S","2006","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      9.7","","       9.7","T","        79","T","        79","T","         3","T","      215","","         0","T","       174","T","        43","T","        40","T","         0","T","  -17.6","T,0216, ","  2794"," ,T,0416, ","  43.2"," ,T,0102, ","   26.1","T,0717, ","-4.0","T,0915","-4.0","T,0915","-4.7","T,0916","-6.9","T,1111","-9.5","T,1112","-1.4","T,0614","-2.6","T,0529","-5.7","T,0528","-9.3","T,0418","-9.3","T,0418","    4651.1","1","    4651.1","T","    682.6"," ,T","      5.43","T","     10.53","T","      0.33","T"
"USS0019L44S","2007","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      7.2","","       7.2","T","        63","T","        63","T","         2","T","      157","","         2","T","       163","T","        32","T","        54","T","         0","T","  -20.2","T,0113, ","  1651"," ,T,0226, ","  40.6"," ,T,0104, ","   27.1","T,0705, ","-1.1","T,0919","-3.2","T,0928","-6.2","T,1005","-8.5","T,1006","-9.0","T,1121","-3.2","T,0607","-3.2","T,0607","-5.1","T,0606","-9.0","T,0503","-9.0","T,0503","    4445.9","9","    4445.9","T","    428.2"," ,T","      6.02","T","     11.36","T","      0.68","T"
"USS0019L44S","2008","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      4.8","","       4.8","T","        59","T","        59","T","         5","T","      172","","         0","T","       181","T","        45","T","        57","T","         0","T","  -16.5","T,1226, ","  1905"," ,T,0224, ","  55.9"," ,T,0104, ","   25.6","T,0815, ","-1.5","T,0901","-5.1","T,1009","-5.1","T,1009","-7.8","T,1010","-9.5","T,1012","-1.8","T,0611","-2.3","T,0529","-5.0","T,0522","-7.8","T,0501","-11.0","T,0420","    4753.1","1","    4753.1","T","    594.0"," ,T","      5.85","T","     11.08","T","      0.61","T"
"USS0019L44S","2009","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      6.5","","       6.5","T","        73","T","        73","T","         5","T","      189","","         1","T","       169","T","        31","T","        47","T","         0","T","  -17.9","T,1208, ","  1956"," ,T,0304, ","  40.6"," ,T,1013, ","   25.4","T,0718,+","-3.1","T,0930","-3.1","T,0930","-4.8","T,1003","-7.6","T,1004","-10.4","T,1028","-1.3","T,0606","-4.1","T,0429","-4.4","T,0426","-8.5","T,0424","-9.6","T,0416","    4431.3","3","    4431.3","T","    588.6"," ,T","      5.63","T","     10.81","T","      0.46","T"
"USS0019L44S","2010","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      1.1","","       1.1","T","        84","T","        84","T","        10","T","      218","","         0","T","       199","T","        41","T","        43","T","         0","T","  -16.5","T,1124, ","  1854"," ,T,1229, ","  53.3"," ,T,1219, ","   25.5","T,0825,+","-0.3","T,0830","-4.2","T,1025","-7.7","T,1026","-7.7","T,1026","-9.7","T,1108","-0.7","T,0611","-3.7","T,0529","-8.3","T,0528","-8.3","T,0528","-9.2","T,0522","    4900.8","8","    4900.8","T","   1048.8"," ,T","      4.70","T","      9.70","T","     -0.29","T"
"USS0019L44S","2011","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      0.0","","       0.0","T","        65","T","        65","T","         7","T","      248","","         1","T","       194","T","        36","T","        25","T","         0","T","  -18.6","T,0226, ","  3327"," ,T,0324, ","  43.2"," ,T,0320, ","   23.6","T,0826,+","-0.8","T,1004","-4.9","T,1005","-4.9","T,1005","-6.7","T,1006","-12.0","T,1104","-1.1","T,0607","-3.2","T,0603","-7.0","T,0602","-7.0","T,0602","-10.6","T,0516","    4984.2","2","    4984.2","T","    608.8"," ,T","      4.89","T","     10.05","T","     -0.27","T"
"USS0019L44S","2012","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      6.1","","       6.1","T","        79","T","        79","T","         6","T","      174","","         0","T","       170","T","        35","T","        52","T","         0","T","  -17.4","T,1219, ","  1448"," ,T,1226, ","  38.1"," ,T,1130, ","   26.2","T,0809, ","-0.3","T,1009","-5.7","T,1022","-5.7","T,1022","-7.8","T,1023","-11.4","T,1109","-0.8","T,0610","-3.0","T,0606","-7.2","T,0605","-7.2","T,0605","-14.2","T,0406","    4533.5","5","    4533.5","T","    644.0"," ,T","      6.10","T","     11.31","T","      0.88","T"
"USS0019L44S","2013","38.84","-119.89","2608.2","HORSE MEADOW, CA US","      9.7","","       9.7","T","        53","T","        53","T","         1","T","      167","","         6","T","       176","T","        33","T","        41","T","         0","T","  -19.3","T,0113, ","  1219"," ,T,0101, ","  35.6"," ,T,0506, ","   27.0","T,0720, ","-0.9","T,0918","-4.5","T,0925","-4.5","T,0925","-7.3","T,1029","-9.3","T,1121","-0.2","T,0619","-4.7","T,0523","-4.7","T,0523","-7.7","T,0418","-10.4","T,0417","    4411.2","2","    4411.2","T","    301.5"," ,T","      6.02","T","     11.35","T","      0.69","T"
