"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0020A46S","2011","48.07","-120.85","893.1","TRINITY, WA US","","","","","       119","T","       119","T","        21","T","      215","","","","","","","","","","","","","","  2667"," ,T,0314, ","  86.4"," ,T,1122, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1680.3"," ,T","","","","","",""
"USS0020A46S","2012","48.07","-120.85","893.1","TRINITY, WA US","     62.4","","      62.4","T","       160","T","       160","T","        30","T","      212","","         0","T","       146","T","        18","T","        91","T","         5","T","  -11.6","T,0116, ","  2946"," ,T,0320, ","  88.9"," ,T,1119, ","   33.6","T,0805, ","-0.7","T,1003","-2.4","T,1108","-4.5","T,1110","-7.4","T,1218","","","-1.6","T,0511","-2.2","T,0413","-5.0","T,0407","-8.0","T,0307","-10.6","T,0227","","","","","   2078.5"," ,T","      7.15","T","     12.66","T","      1.64","T"
"USS0020A46S","2013","48.07","-120.85","893.1","TRINITY, WA US","     67.9","","      67.9","T","       108","T","       108","T","        10","T","      186","","         1","T","       138","T","        15","T","        90","T","         3","T","  -18.3","T,1207, ","  2184"," ,T,0320, ","  76.2"," ,T,0928, ","   33.4","T,0701, ","-0.7","T,1009","-2.3","T,1103","-7.3","T,1120","-7.3","T,1120","-10.2","T,1204","-2.7","T,0501","-2.7","T,0501","-4.7","T,0325","-7.8","T,0323","-11.2","T,0122","    3950.6","6","    3950.6","T","   1104.0"," ,T","      7.67","T","     13.49","T","      1.84","T"
"USS0020A46S","2014","48.07","-120.85","893.1","TRINITY, WA US","     96.0","","      96.0","T","       124","T","       124","T","        31","T","      186","","         2","T","       128","T","        24","T","        93","T","        12","T","  -21.1","T,0206, ","  2946"," ,T,0303, ","  76.2"," ,T,1125, ","   34.4","T,0729,+","-1.8","T,1110","-5.9","T,1111","-5.9","T,1111","-10.0","T,1112","-10.0","T,1112","-0.1","T,0511","-2.3","T,0331","-4.9","T,0322","-7.0","T,0321","-9.1","T,0302","    4016.9","9","    4016.9","T","   2090.1"," ,T","      7.66","T","     13.05","T","      2.27","T"
"USS0020A46S","2015","48.07","-120.85","893.1","TRINITY, WA US","    141.1","","     141.1","T","       101","T","       101","T","        22","T","      161","","         0","T","       117","T","        17","T","       102","T","        16","T","  -13.1","T,0101, ","  1905"," ,T,1223, ","  96.5"," ,T,1208,+","   36.8","T,0627, ","0.0","T,0927","-3.2","T,1104","-6.8","T,1120","-6.8","T,1120","-10.0","T,1129","-0.9","T,0507","-5.4","T,0304","-5.4","T,0304","-7.2","T,0103","-9.0","T,0102","    3509.7","7","    3509.7","T","   1729.2"," ,T","      8.84","T","     14.58","T","      3.11","T"
"USS0020A46S","2016","48.07","-120.85","893.1","TRINITY, WA US","     63.6","","      63.6","T","       141","T","       141","T","        20","T","      173","","         0","T","       101","T","        28","T","        90","T","         4","T","  -16.4","T,0102, ","  2413"," ,T,0313,+","  91.4"," ,T,1008, ","   33.1","T,0818, ","-0.5","T,1011","-5.4","T,1204","-5.4","T,1204","-9.0","T,1206","-9.0","T,1206","-0.7","T,0426","-4.6","T,0318","-4.6","T,0318","-7.4","T,0115","-13.1","T,0103","    3758.7","7","    3758.7","T","   1832.9"," ,T","      7.92","T","     13.36","T","      2.47","T"
"USS0020A46S","2017","48.07","-120.85","893.1","TRINITY, WA US","    118.6","","     118.6","T","       129","T","       129","T","        22","T","      208","","         3","T","       146","T","        39","T","        99","T","        13","T","  -19.0","T,0106,+","  2540"," ,T,0209, ","  76.2"," ,T,1018, ","   35.4","T,0810, ","0.0","T,1002","-2.3","T,1014","-6.1","T,1204","-6.7","T,1209","-8.9","T,1211","-0.6","T,0515","-2.7","T,0411","-4.5","T,0320","-8.9","T,0225","-8.9","T,0225","    4315.8","8","    4315.8","T","   1782.2"," ,T","      7.02","T","     12.65","T","      1.40","T"
"USS0020A46S","2018","48.07","-120.85","893.1","TRINITY, WA US","    106.3","","     106.3","T","       124","T","       124","T","        21","T","      173","","         0","T","       125","T","        12","T","        94","T","        10","T","  -16.3","T,0220, ","  2388"," ,T,0131, ","  66.0"," ,T,1218, ","   36.4","T,0809, ","-0.9","T,1003","-2.3","T,1107","-5.9","T,1203","-8.0","T,1204","-10.2","T,1205","-1.0","T,0423","-2.4","T,0402","-7.5","T,0325","-7.5","T,0325","-15.3","T,0223","    3935.5","5","    3935.5","T","   1578.8"," ,T","      7.92","T","     13.55","T","      2.29","T"
"USS0020A46S","2019","48.07","-120.85","893.1","TRINITY, WA US","     44.1","","      44.1","T","       118","T","       118","T","        12","T","      160","","         0","T","       150","T","        29","T","        85","T","         6","T","  -15.4","T,0210, ","  2540"," ,T,0212, ","  99.1"," ,T,1220, ","   35.3","T,0726, ","-0.7","T,1001","-3.6","T,1009","-6.1","T,1029","-7.2","T,1030","-9.0","T,1129","-0.1","T,0501","-2.9","T,0327","-4.5","T,0312","-7.0","T,0311","-9.2","T,0310","    4026.0","0","    4026.0","T","   1095.9"," ,T","      7.11","T","     12.82","T","      1.41","T"
"USS0020A46S","2020","48.07","-120.85","893.1","TRINITY, WA US","","","","","       124","T","       124","T","        28","T","      186","","         0","T","       141","T","","","","","","","  -14.7","T,0115, ","  2184"," ,T,0223, ","  66.0"," ,T,1013, ","","","-0.1","T,1020","-3.0","T,1022","-6.0","T,1025","-7.4","T,1212","-9.1","T,1224","-0.3","T,0507","-2.9","T,0413","-5.6","T,0316","-10.9","T,0315","-10.9","T,0315","    4010.0","0","    4010.0"," ","   1850.4"," ,T","","","","","      2.18","T"
