"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021B13S","1982","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       169","T","       169","T","        10","T","","","","","","","","","","","","","","","","","  96.5"," ,T,0123, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1792.3"," ,T","","","","","",""
"USS0021B13S","1983","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       159","T","       159","T","        15","T","","","","","","","","","","","","","","","","","  53.3"," ,T,0712, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1672.8"," ,T","","","","","",""
"USS0021B13S","1984","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       175","T","       175","T","        13","T","","","","","","","","","","","","","","","","","  45.7"," ,T,1103,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1700.7"," ,T","","","","","",""
"USS0021B13S","1985","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       133","T","       133","T","         4","T","","","","","","","","","","","","","","","","","  50.8"," ,T,1024, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1197.5"," ,T","","","","","",""
"USS0021B13S","1986","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       158","T","       158","T","        12","T","","","","","","","","","","","","","","","","","  58.4"," ,T,1105, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1505.2"," ,T","","","","","",""
"USS0021B13S","1987","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       127","T","       127","T","         9","T","","","","","","","","","","","","","","","","","  55.9"," ,T,1209, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1200.7"," ,T","","","","","",""
"USS0021B13S","1988","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       163","T","       163","T","        13","T","","","","","","","","","","","","","","","","","  66.0"," ,T,1103, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1655.0"," ,T","","","","","",""
"USS0021B13S","1989","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       169","T","       169","T","         6","T","","","","","","","        66","T","        12","T","         0","T","","","","","  48.3"," ,T,0109, ","   25.8","T,0806, ","","","","","","","","","","","","","","","","","","","","","","","","","   1300.5"," ,T","","","      7.31","T","",""
"USS0021B13S","1990","47.02","-121.46","1767.8","CORRAL PASS, WA US","     15.0","","      15.0","T","       208","T","       208","T","        22","T","","","         8","T","       218","T","        97","T","        33","T","         0","T","  -26.4","T,1220, ","","","  73.7"," ,T,0228, ","   28.9","T,0812,+","-1.4","T,1001","-4.3","T,1005","-5.7","T,1006","-6.9","T,1007","-8.9","T,1125","-1.2","T,0703","-2.5","T,0611","-5.2","T,0508","-7.2","T,0428","-10.8","T,0313","    5255.4","4","    5255.4","T","   2154.7"," ,T","      2.58","T","      6.94","T","     -1.77","T"
"USS0021B13S","1991","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       167","T","       167","T","        14","T","","","         0","T","       214","T","        76","T","        28","T","         0","T","  -12.2","T,0125, ","","","  61.0"," ,T,0219, ","   27.3","T,0723, ","-0.1","T,0914","-4.2","T,1016","-6.6","T,1017","-7.6","T,1026","-9.9","T,1027","0.0","T,0622","-2.4","T,0614","-5.8","T,0604","-7.1","T,0509","-9.0","T,0411","    5448.9","9","    5448.9","T","   1529.8"," ,T","      3.23","T","      7.57","T","     -1.12","T"
"USS0021B13S","1992","47.02","-121.46","1767.8","CORRAL PASS, WA US","     18.1","","      18.1","T","       157","T","       157","T","        10","T","","","         0","T","       188","T","        59","T","        33","T","         0","T","  -14.2","T,1218, ","","","  48.3"," ,T,1121, ","   28.3","T,0812, ","-1.3","T,0823","-2.4","T,0905","-5.0","T,1014","-9.1","T,1109","-9.1","T,1109","-1.0","T,0614","-4.1","T,0521","-4.9","T,0520","-7.0","T,0511","-9.0","T,0423","","","","","   1298.7"," ,T","      4.18","T","      8.67","T","     -0.31","T"
"USS0021B13S","1993","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       149","T","       149","T","         3","T","","","","","","","","","","","","","","","","","  27.9"," ,T,0314, ","","","","","","","","","","","","","","","","","","","","","","","    5560.9","9","    5560.9","T","   1121.5"," ,T","","","","","",""
"USS0021B13S","1994","47.02","-121.46","1767.8","CORRAL PASS, WA US","     12.8","","      12.8","T","       158","T","       158","T","        16","T","","","         0","T","       216","T","        76","T","        27","T","         0","T","  -17.2","T,0207, ","","","  73.7"," ,T,0223, ","   29.4","T,0720, ","0.0","T,1001","-2.5","T,1010","-4.9","T,1022","-7.2","T,1101","-10.8","T,1103","-0.3","T,0705","-2.4","T,0615","-5.2","T,0503","-6.7","T,0413","-12.6","T,0323","","","","","   1632.1"," ,T","      3.18","T","      7.67","T","     -1.31","T"
"USS0021B13S","1995","47.02","-121.46","1767.8","CORRAL PASS, WA US","      2.6","","       2.6","T","       167","T","       167","T","        16","T","","","         3","T","       218","T","        60","T","        15","T","         0","T","  -19.6","T,0213, ","","","  48.3"," ,T,1127, ","   26.4","T,0719, ","-0.3","T,0813","-2.3","T,1011","-4.7","T,1021","-8.0","T,1031","-11.2","T,1204","0.0","T,0729","-3.7","T,0606","-4.9","T,0421","-7.9","T,0419","-9.1","T,0326","    5569.3","3","    5569.3","T","   1629.3"," ,T","      3.17","T","      7.46","T","     -1.12","T"
"USS0021B13S","1996","47.02","-121.46","1767.8","CORRAL PASS, WA US","     33.3","","      33.3","T","       205","T","       205","T","        17","T","","","         2","T","       241","T","        87","T","        35","T","         0","T","  -20.7","T,0130, ","","","  73.7"," ,T,0208, ","   29.8","T,0824, ","0.0","T,0805","-2.6","T,0921","-5.1","T,1015","-6.9","T,1016","-10.2","T,1020","-0.7","T,0718","-3.2","T,0618","-6.9","T,0510","-6.9","T,0510","-8.9","T,0403","    5776.0","0","    5776.0","T","   2129.3"," ,T","      2.56","T","      6.94","T","     -1.82","T"
"USS0021B13S","1997","47.02","-121.46","1767.8","CORRAL PASS, WA US","      2.1","","       2.1","T","       179","T","       179","T","        18","T","","","         0","T","       226","T","        73","T","        24","T","         0","T","  -16.5","T,0112, ","",""," 104.1"," ,T,0119, ","   27.4","T,0805, ","0.0","T,0926","-3.4","T,1006","-4.7","T,1023","-6.8","T,1203","-9.3","T,1209","-0.2","T,0709","-2.3","T,0522","-5.1","T,0507","-7.1","T,0501","-10.0","T,0411","    5716.2","2","    5716.2","T","   1826.8"," ,T","      2.97","T","      7.30","T","     -1.36","T"
"USS0021B13S","1998","47.02","-121.46","1767.8","CORRAL PASS, WA US","     37.5","","      37.5","T","       186","T","       186","T","        16","T","","","         4","T","       216","T","        90","T","        43","T","         0","T","  -24.0","T,1220, ","","","  61.0"," ,T,1227, ","   31.2","T,0804, ","-0.1","T,0817","-2.4","T,1003","-4.9","T,1015","-6.7","T,1106","-10.3","T,1203","-1.4","T,0618","-2.3","T,0528","-4.7","T,0516","-6.9","T,0419","-9.2","T,0411","    5536.6","6","    5536.6","T","   1740.7"," ,T","      3.28","T","      7.56","T","     -0.99","T"
"USS0021B13S","1999","47.02","-121.46","1767.8","CORRAL PASS, WA US","      2.9","","       2.9","T","       178","T","       178","T","        21","T","","","         0","T","       236","T","        90","T","        32","T","         0","T","  -13.5","T,0209, ","","","  55.9"," ,T,0202, ","   26.6","T,0827, ","-1.3","T,0830","-2.8","T,0926","-4.9","T,1014","-8.1","T,1031","-9.3","T,1203","-1.6","T,0714","-2.2","T,0626","-4.6","T,0606","-8.7","T,0510","-9.0","T,0508","    5730.3","3","    5730.3","T","   2064.3"," ,T","      2.66","T","      7.11","T","     -1.80","T"
"USS0021B13S","2000","47.02","-121.46","1767.8","CORRAL PASS, WA US","      0.8","","       0.8","T","       148","T","       148","T","         8","T","","","         0","T","       238","T","        72","T","        18","T","         0","T","  -14.1","T,1211, ","","","  55.9"," ,T,0201, ","   25.5","T,0914, ","-0.2","T,0828","-4.2","T,0922","-4.9","T,1021","-9.2","T,1109","-9.2","T,1109","-0.2","T,0715","-2.6","T,0611","-5.6","T,0512","-7.3","T,0506","-10.1","T,0424","    5529.7","7","    5529.7","T","   1233.5"," ,T","      2.48","T","      6.98","T","     -2.02","T"
"USS0021B13S","2001","47.02","-121.46","1767.8","CORRAL PASS, WA US","     10.9","","      10.9","T","       176","T","       176","T","         9","T","","","         0","T","       232","T","        82","T","        30","T","         0","T","  -14.4","T,0207, ","","","  45.7"," ,T,1213, ","   28.0","T,0812, ","-0.3","T,0905","-3.4","T,0927","-4.5","T,1017","-7.5","T,1027","-8.9","T,1127","-0.3","T,0629","-4.0","T,0612","-4.4","T,0529","-7.6","T,0506","-9.0","T,0414","    5761.5","5","    5761.5","T","   1315.9"," ,T","      2.85","T","      7.38","T","     -1.68","T"
"USS0021B13S","2002","47.02","-121.46","1767.8","CORRAL PASS, WA US","     10.7","","      10.7","T","       130","T","       130","T","         9","T","","","         0","T","       223","T","        80","T","        29","T","         0","T","  -14.6","T,0129, ","","","  83.8"," ,T,0322, ","   29.3","T,0710, ","-1.5","T,0802","-3.2","T,0930","-4.7","T,1011","-11.7","T,1029","-11.7","T,1029","-1.2","T,0705","-4.3","T,0608","-4.5","T,0607","-7.8","T,0508","-9.9","T,0506","    5734.8","8","    5734.8","T","   1225.3"," ,T","      3.12","T","      7.73","T","     -1.50","T"
"USS0021B13S","2003","47.02","-121.46","1767.8","CORRAL PASS, WA US","     12.0","","      12.0","T","       131","T","       131","T","        14","T","","","         0","T","       228","T","        76","T","        46","T","         0","T","  -16.0","T,0224, ","","","  50.8"," ,T,0221, ","   29.6","T,0729, ","-0.7","T,0823","-2.5","T,1011","-7.1","T,1029","-7.1","T,1029","-12.2","T,1030","-0.3","T,0703","-5.5","T,0519","-5.5","T,0519","-7.1","T,0518","-9.5","T,0405","    5299.8","8","    5299.8","T","   1332.1"," ,T","      3.51","T","      8.04","T","     -1.03","T"
"USS0021B13S","2004","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       179","T","       179","T","         4","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0307,+","","","","","","","","","","","","","","","","","","","","","","","    5295.7","7","    5295.7","T","   1214.2"," ,T","","","","","",""
"USS0021B13S","2005","47.02","-121.46","1767.8","CORRAL PASS, WA US","      2.5","","       2.5","T","       182","T","       182","T","        11","T","","","         0","T","       197","T","        57","T","        26","T","         0","T","  -13.8","T,1217, ","","","  43.2"," ,T,0117, ","   28.6","T,0721, ","-0.4","T,0909","-2.4","T,0922","-4.6","T,1101","-8.8","T,1107","-9.2","T,1108","0.0","T,0623","-2.3","T,0612","-5.2","T,0418","-7.1","T,0414","-9.5","T,0413","","","","","   1329.0"," ,T","      3.42","T","      7.82","T","     -0.98","T"
"USS0021B13S","2006","47.02","-121.46","1767.8","CORRAL PASS, WA US","     20.3","","      20.3","T","       183","T","       183","T","        16","T","","","         2","T","       200","T","        80","T","        39","T","         0","T","  -22.3","T,0217, ","","","  76.2"," ,T,1106, ","   31.9","T,0721, ","0.0","T,1002","-2.7","T,1025","-7.1","T,1029","-7.1","T,1029","-10.6","T,1030","-0.4","T,0603","-4.8","T,0513","-4.8","T,0513","-6.9","T,0508","-8.9","T,0415","    5615.8","8","    5615.8","T","   1694.4"," ,T","      3.39","T","      7.75","T","     -0.98","T"
"USS0021B13S","2007","47.02","-121.46","1767.8","CORRAL PASS, WA US","      5.0","","       5.0","T","       174","T","       174","T","         9","T","      256","","         0","T","       204","T","        66","T","        13","T","         0","T","  -16.1","T,0111, ","  2438"," ,T,0301,+","  40.6"," ,T,1203, ","   27.0","T,0711, ","-0.2","T,0918","-3.5","T,1004","-5.2","T,1025","-7.4","T,1121","-9.8","T,1130","-0.8","T,0625","-3.4","T,0505","-5.1","T,0503","-9.2","T,0403","-9.2","T,0403","    5305.4","4","    5305.4","T","   1438.8"," ,T","      3.19","T","      6.95","T","     -0.57","T"
"USS0021B13S","2008","47.02","-121.46","1767.8","CORRAL PASS, WA US","     15.7","","      15.7","T","       204","T","       204","T","         9","T","      254","","         2","T","       210","T","        86","T","        17","T","         0","T","  -19.5","T,1214, ","  2896"," ,T,0409,+","  81.3"," ,T,1112, ","   28.7","T,0816, ","-0.8","T,0922","-2.9","T,1008","-5.1","T,1010","-12.6","T,1213","-12.6","T,1213","-0.2","T,0615","-3.3","T,0610","-6.9","T,0501","-6.9","T,0501","-9.2","T,0421","    5763.0","0","    5763.0","T","   1668.9"," ,T","      2.90","T","      6.68","T","     -0.87","T"
"USS0021B13S","2009","47.02","-121.46","1767.8","CORRAL PASS, WA US","     11.7","","      11.7","T","       180","T","       180","T","        11","T","      255","","         3","T","       200","T","        77","T","        27","T","         0","T","  -20.4","T,1207, ","  3099"," ,T,0401, ","  55.9"," ,T,0107, ","   27.2","T,0819, ","-0.9","T,0928","-3.2","T,1003","-4.5","T,1010","-7.5","T,1111","-9.6","T,1114","0.0","T,0621","-2.6","T,0520","-5.1","T,0513","-7.3","T,0424","-9.3","T,0404","    5423.0","0","    5423.0","T","   1555.0"," ,T","      3.37","T","      7.28","T","     -0.55","T"
"USS0021B13S","2010","47.02","-121.46","1767.8","CORRAL PASS, WA US","","","","","       212","T","       212","T","         7","T","      261","","","","","","","","","","","","","","  2388"," ,T,0406, ","  48.3"," ,T,1101, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1532.1"," ,T","","","","","",""
"USS0021B13S","2011","47.02","-121.46","1767.8","CORRAL PASS, WA US","      4.8","","       4.8","T","       205","T","       205","T","        20","T","      284","","         2","T","       225","T","        70","T","        13","T","         0","T","  -18.8","T,0225, ","  3200"," ,T,0508,+","  71.1"," ,T,0330, ","   25.7","T,0911, ","-2.2","T,0801","-2.2","T,0801","-4.9","T,0806","-7.2","T,1104","-9.7","T,1118","-0.1","T,0708","-2.4","T,0528","-6.3","T,0517","-6.7","T,0422","-9.0","T,0419","    5834.2","2","    5834.2","T","   1861.8"," ,T","      2.19","T","      5.97","T","     -1.60","T"
