"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021D12S","1981","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       143","T","       143","T","        11","T","","","","","","","","","","","","","","","","","  53.3"," ,T,1205,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1370.6"," ,T","","","","","",""
"USS0021D12S","1982","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       113","T","       113","T","         9","T","","","","","","","","","","","","","","","","","  53.3"," ,T,0103, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1266.8"," ,T","","","","","",""
"USS0021D12S","1983","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       161","T","       161","T","        11","T","","","","","","","","","","","","","","","","","  50.8"," ,T,1229, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1456.1"," ,T","","","","","",""
"USS0021D12S","1984","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       122","T","       122","T","         5","T","","","","","","","","","","","","","","","","","  66.0"," ,T,1101, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1264.0"," ,T","","","","","",""
"USS0021D12S","1985","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","        98","T","        98","T","         5","T","","","","","","","","","","","","","","","","","  38.1"," ,T,1022, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    880.5"," ,T","","","","","",""
"USS0021D12S","1986","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       119","T","       119","T","         7","T","","","","","","","        32","T","        66","T","         2","T","","","","","  53.3"," ,T,0222, ","   33.1","T,0531, ","","","","","","","","","","","","","","","","","","","","","","","","","   1104.6"," ,T","","","     10.30","T","",""
"USS0021D12S","1987","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       100","T","       100","T","         6","T","","","","","","","        51","T","        71","T","         1","T","","","","","  58.4"," ,T,1209, ","   32.3","T,0714, ","","","","","","","","","","","","","","","","","","","","","","","","","    834.3"," ,T","","","     11.10","T","",""
"USS0021D12S","1988","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       128","T","       128","T","        10","T","","","","","","","","","","","","","","","","","  48.3"," ,T,0109, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1129.4"," ,T","","","","","",""
"USS0021D12S","1989","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       110","T","       110","T","         5","T","","","","","","","","","","","","","","","","","  58.4"," ,T,0109, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    821.5"," ,T","","","","","",""
"USS0021D12S","1990","45.19","-121.69","1161.3","CLEAR LAKE, OR US","     40.6","","      40.6","T","       141","T","       141","T","         7","T","","","         5","T","       168","T","        75","T","        45","T","         0","T","  -25.2","T,1221, ","","","  50.8"," ,T,0427, ","   30.5","T,0805, ","-1.3","T,1005","-2.7","T,1006","-5.0","T,1101","-6.7","T,1211","-23.8","T,1220","0.0","T,0613","-2.5","T,0525","-4.6","T,0428","-8.8","T,0313","-10.8","T,0219","","","","","   1279.0"," ,T","      4.53","T","      8.59","T","      0.47","T"
"USS0021D12S","1991","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       138","T","       138","T","         8","T","","","","","","","        91","T","        52","T","         0","T","","","","","  38.1"," ,T,1206,+","   29.5","T,0819, ","","","","","","","","","","","","","","","","","","","","","","","","","   1013.7"," ,T","","","      7.98","T","",""
"USS0021D12S","1992","45.19","-121.69","1161.3","CLEAR LAKE, OR US","      9.3","","       9.3","T","       160","T","       160","T","         3","T","","","         0","T","       166","T","        71","T","        44","T","         0","T","  -16.8","T,1205, ","","","  48.3"," ,T,1121, ","   31.2","T,0813, ","-0.4","T,0905","-3.5","T,1004","-4.5","T,1015","-7.0","T,1109","-9.7","T,1124","-2.8","T,0521","-2.8","T,0521","-4.4","T,0423","-7.7","T,0120","","","","","","","   1092.9"," ,T","      4.71","T","      8.81","T","      0.61","T"
"USS0021D12S","1993","45.19","-121.69","1161.3","CLEAR LAKE, OR US","","","","","       175","T","       175","T","         2","T","","","","","","","","","","","","","","","","","  33.0"," ,T,1201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    929.4"," ,T","","","","","",""
"USS0021D12S","1994","45.19","-121.69","1161.3","CLEAR LAKE, OR US","     67.1","","      67.1","T","       131","T","       131","T","         9","T","","","         0","T","       139","T","        52","T","        72","T","         2","T","  -14.8","T,0208, ","",""," 106.7"," ,T,1031, ","   35.1","T,0722, ","-0.5","T,1011","-2.8","T,1101","-6.3","T,1102","-7.2","T,1103","-9.1","T,1118","0.0","T,0527","-2.8","T,0404","-6.9","T,0323","-6.9","T,0323","-14.8","T,0208","","","","","   1294.3"," ,T","      6.38","T","     10.62","T","      2.14","T"
"USS0021D12S","1995","45.19","-121.69","1161.3","CLEAR LAKE, OR US","     37.5","","      37.5","T","       133","T","       133","T","        17","T","","","         0","T","       139","T","        41","T","        53","T","         0","T","  -14.8","T,0213, ","","","  53.3"," ,T,1111, ","   30.3","T,0903, ","-1.5","T,1022","-4.6","T,1030","-4.6","T,1030","-7.0","T,1207","-13.2","T,1208","-0.2","T,0606","-2.8","T,0420","-5.2","T,0326","-6.7","T,0302","-14.6","T,0214","    4535.9","9","    4535.9","T","   1566.2"," ,T","      6.02","T","      9.79","T","      2.26","T"
"USS0021D12S","1996","45.19","-121.69","1161.3","CLEAR LAKE, OR US","    108.9","","     108.9","T","       127","T","       127","T","        25","T","","","         5","T","       165","T","        57","T","        60","T","         5","T","  -21.1","T,0131, ","","","  73.7"," ,T,0206, ","   34.2","T,0726, ","-0.8","T,1015","-2.2","T,1016","-7.6","T,1123","-7.6","T,1123","-10.0","T,1217","-0.3","T,0522","-2.5","T,0509","-5.5","T,0328","-9.6","T,0325","-9.6","T,0325","    4645.2","2","    4645.2","T","   1884.4"," ,T","      5.81","T","      9.85","T","      1.77","T"
"USS0021D12S","1997","45.19","-121.69","1161.3","CLEAR LAKE, OR US","     32.0","","      32.0","T","       126","T","       126","T","         9","T","","","         0","T","       145","T","        50","T","        60","T","         0","T","  -13.1","T,0113, ","","","  48.3"," ,T,1030,+","   32.0","T,0805, ","-0.5","T,1007","-2.2","T,1112","-4.5","T,1113","-7.0","T,1206","","","-0.7","T,0507","-2.8","T,0412","-5.3","T,0411","-9.3","T,0210","-9.3","T,0210","    4597.3","3","    4597.3","T","   1108.8"," ,T","      5.96","T","      9.82","T","      2.11","T"
