"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003171","1999","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","       2.4","W","    746.1","","     746.1","W","        35","W","        14","W","         0","W","","","","","         0","W","         2","W","         0","W","       266","W","        94","W","","","","","","","    0.0","W,0402,+","","","","","  14.7"," ,W,0126, ","   40.6","W,0825, ","","","","","0.0","W,0402","","","","","","","    108.0"," ,W","","","     17.66","W","     25.91","W","      9.41","W","       360","W","        20","W","      17.9","W","      23.2","W"
"USW00003171","2000","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","","","","","","","        34","W","        16","W","         0","W","","","","","","","","","","","","","","","","","","","","","","","","","","","  21.6"," ,W,0221, ","","","","","","","","","","","","","","","    147.9"," ,W","","","","","","","","","","","","","","","",""
"USW00003171","2001","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","       2.1","W","    802.4","","     802.4","W","        48","W","        25","W","         2","W","","","","","         0","W","         9","W","         0","W","       245","W","        91","W","","","","","","","   -1.1","W,1218,+","","","","","  33.3"," ,W,0212, ","   42.2","W,0930, ","-1.1","W,1209","","","0.0","W,0208","","","    1073.4","4","    1073.4","W","    267.3"," ,W","","","     17.53","W","     25.44","W","      9.63","W","        10","W","       270","W","      16.1","W","      67.5","W"
"USW00003171","2002","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","       2.2","W","    751.0","","     751.0","W","        26","W","         9","W","         1","W","","","","","         0","W","        17","W","         0","W","       263","W","        84","W","","","","","","","   -2.2","W,0131, ","","","","","  27.7"," ,W,1216, ","   43.3","W,0901, ","0.0","W,1224","","","0.0","W,0317","-2.2","W,0131","     993.9","9","     993.9","W","     92.5"," ,W","","","     17.76","W","     26.03","W","      9.49","W","        30","W","        30","W","      17.9","W","      22.8","W"
"USW00003171","2003","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","       2.2","W","    981.1","","     981.1","W","        29","W","        14","W","         3","W","","","","","         0","W","         5","W","         0","W","       261","W","       113","W","","","","","","","   -2.2","W,1228, ","","","","","  50.5"," ,W,0315, ","   41.1","W,0921,+","-0.6","W,1212","-2.2","W,1228","0.0","W,0206","","","     863.1","1","     863.1","W","    261.1"," ,W","","","     18.58","W","     26.52","W","     10.65","W","        20","W","        20","W","      17.9","W","      23.2","W"
"USW00003171","2004","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","       2.3","W","    859.0","","     859.0","W","        37","W","        24","W","         2","W","","","","","         0","W","         5","W","         0","W","       259","W","        91","W","","","","","","","   -2.8","W,1130, ","","","","","  37.6"," ,W,1027, ","   40.6","W,0901, ","-2.8","W,1130","-2.8","W,1130","","","","","     839.2","2","     839.2","W","    262.0"," ,W","","","     18.21","W","     25.94","W","     10.50","W","       360","W","        10","W","      17.4","W","      21.0","W"
"USW00003171","2005","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","       2.2","B","    774.5","","     774.5","B","        48","B","        26","B","         5","B","","","","","         0","B","         0","B","         0","B","       259","B","        88","B","","","","","","","    0.6","B,0113, ","","","","","  60.7"," ,B,0109, ","   39.4","B,0828,+","","","","","","","","","    1007.1","1","    1007.1","B","    412.5"," ,B","","","     18.12","B","     25.75","B","     10.49","B","        30","B","        30","B","      15.6","B","      20.6","B"
"USW00003171","2006","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","       2.3","W","    931.5","","     931.5","W","        39","W","        19","W","         0","W","","","","","         0","W","        12","W","         0","W","       257","W","        92","W","       192"," ","         9"," ","         2"," ","   -2.7","W,1220, ","","","","","  20.8"," ,W,0404, ","   45.0","W,0722, ","0.0","W,1205","-2.7","W,1220","0.0","W,0312","","","     910.2","2","     910.2","W","    154.9"," ,W","","","     18.18","W","     26.19","W","     10.17","W","        90","W","       110","W","      19.7","W","      24.6","W"
"USW00003171","2007","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","       127"," ","        32"," ","         2"," ","","","","","","","","","","","","","","","","","","","     899.2","2","     899.2"," ","","","","","","","","","","","       240","W","       240","W","      25.9","W","      25.9","W"
"USW00003171","2008","33.95282","-117.43523","257.7","RIVERSIDE MUNICIPAL AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","        83"," ","        42"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        90","W","        90","W","      50.5","W","      50.5","W"
