"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00004864","2011","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","       147"," ","        44"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004864","2012","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","       116"," ","        38"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004864","2013","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","       136"," ","        31"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5056.6","6","    5056.6","W","","","","","","","","","","","",""
"USW00004864","2014","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","       3.7","W","     66.5","","      66.5","W","       146","W","        71","W","         7","W","        0","","        64","W","       187","W","       121","W","        98","W","         0","W","       152"," ","        48"," ","  -34.3","W,0228, ","     0"," ,W,1231,+","  53.8"," ,W,0829, ","   28.3","W,0722,+","0.0","W,0912","-3.2","W,1010","-8.2","W,1101","-8.2","W,1101","-11.6","W,1113","-1.6","W,0517","-4.9","W,0423","-4.9","W,0423","-10.5","W,0416","-10.5","W,0416","","","","","    947.1"," ,W","      2.77","W","      8.13","W","     -2.59","W","       150","W","      13.9","W"
"USW00004864","2015","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","       3.7","W","     99.8","","      99.8","W","        92","W","        49","W","         1","W","        0","","        34","W","       173","W","        80","W","       102","W","         1","W","       133"," ","        23"," ","  -31.0","W,0113, ","     0"," ,W,1231,+","  40.4"," ,W,0906, ","   32.2","W,0814, ","-1.0","W,0930","-3.2","W,1017","-6.0","W,1018","-9.3","W,1121","-9.3","W,1121","0.0","W,0522","-2.7","W,0426","-6.0","W,0404","-12.1","W,0328","-12.1","W,0328","    5296.1","1","    5296.1","W","    543.2"," ,W","      5.54","W","     10.91","W","      0.18","W","       360","W","      13.9","W"
"USW00004864","2016","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","       3.1","W","    141.9","","     141.9","W","       112","W","        54","W","         5","W","        0","","        25","W","       168","W","        85","W","       108","W","         0","W","       132"," ","        30"," ","  -27.7","W,1218,+","     0"," ,W,1231,+","  48.3"," ,W,0615, ","   31.7","W,0722, ","-1.6","W,1009","-2.7","W,1013","-4.9","W,1112","-7.1","W,1120","-9.9","W,1121","-1.0","W,0518","-2.7","W,0517","-16.0","W,0409","-16.0","W,0409","-16.0","W,0409","    4349.1","1","    4349.1","W","    625.2"," ,W","      6.40","W","     11.54","W","      1.26","W","       250","W","      13.9","W"
"USW00004864","2017","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","        96"," ","        26"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004864","2018","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","       112"," ","        29"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004864","2019","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","        94"," ","        28"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004864","2020","45.15417","-89.11056","463.9","ANTIGO LANGLADE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","        81"," ","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
