"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014763","1926","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","","","","","       119","0","        86","0","         8","0","","","        30","0","","","","","","","","","","","","","","","","","","","","","   152"," ,0,1226,+","  52.6"," ,0,0907, ","","","","","","","","","","","","","","","","","","","","","","","    4369.7","7","    4369.7","0","   1092.3"," ,0","     2119"," ,0","","","","","","","","","","","","","",""
"USW00014763","1927","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","    180.5","","     180.5","0","       123","0","        95","0","         8","0","","","        22","0","         8","0","       138","0","        36","0","       129","0","         6","0","","","","","","","  -23.3","0,0127, ","","","   356"," ,0,0116, "," 123.4"," ,0,1104, ","   33.9","0,0717,+","-2.2","0,1011","-2.2","0,1011","-5.6","0,1108","-7.2","0,1110","-12.2","0,1204","0.0","0,0502","-3.9","0,0426","-5.6","0,0409","-6.7","0,0324","-9.4","0,0323","","","","","   1236.5"," ,0","     1676"," ,0","      8.35","0","     14.53","0","      2.17","0","","","","","","","",""
"USW00014763","1930","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","    295.5","","     295.5","0","       109","0","        77","0","         2","0","","","","","        11","0","       155","0","        40","0","       140","0","        16","0","","","","","","","  -25.0","0,0217, ","","","","","  35.6"," ,0,0814, ","   36.7","0,0722, ","-0.6","0,1002","-5.6","0,1020","-5.6","0,1020","-6.7","0,1107","-11.7","0,1128","0.0","0,0530","-2.8","0,0426","-6.7","0,0424","-6.7","0,0424","-10.6","0,0323","","","","","    774.5"," ,0","","","      8.56","0","     15.02","0","      2.11","0","","","","","","","",""
"USW00014763","1931","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","","","","","       122","0","        94","0","         8","0","","","        20","0","         9","0","       144","0","","","","","","","","","","","","","  -25.6","0,0203, ","","","   152"," ,0,0308,+"," 101.6"," ,0,0709, ","","","-1.7","0,1010","-2.2","0,1013","-4.4","0,1020","-7.8","0,1107","-11.1","0,1128","-1.7","0,0502","-2.2","0,0501","-5.6","0,0322","-7.2","0,0319","-8.9","0,0314","    3956.1","1","    3956.1","0","   1079.9"," ,0","     1208"," ,0","","","","","      3.15","0","","","","","","","",""
"USW00014763","1932","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","    234.4","","     234.4","0","       107","0","        81","0","         9","0","","","        22","0","         3","0","       152","0","        32","0","       129","0","         6","0","","","","","","","  -24.4","0,1217, ","","","   229"," ,0,0204, ","  47.5"," ,0,0701, ","   33.3","0,0715, ","-1.1","0,0930","-2.8","0,1014","-6.7","0,1114","-6.7","0,1114","-12.2","0,1123","-3.3","0,0428","-3.3","0,0428","-5.0","0,0417","-6.7","0,0329","-10.6","0,0321","","","","","   1037.9"," ,0","     1728"," ,0","      8.36","0","     14.46","0","      2.27","0","","","","","","","",""
"USW00014763","1933","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","    311.2","","     311.2","0","       115","0","        85","0","         8","0","","","        25","0","        13","0","       164","0","        38","0","       128","0","        19","0","","","","","","","  -30.6","0,1229, ","","","   305"," ,0,0412, ","  63.2"," ,0,0915, ","   37.8","0,0802,+","0.0","0,1014","-2.2","0,1015","-6.7","0,1026","-6.7","0,1026","-8.9","0,1112","0.0","0,0505","-5.6","0,0428","-5.6","0,0428","-7.8","0,0325","-8.9","0,0317","    3707.7","7","    3707.7","0","   1059.6"," ,0","     1888"," ,0","      8.19","0","     14.18","0","      2.20","0","","","","","","","",""
"USW00014763","1934","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","    257.9","","     257.9","0","       109","0","        81","0","        10","0","","","        21","0","        29","0","       159","0","        61","0","       125","0","        11","0","","","","","","","  -30.6","0,0209, ","","","   356"," ,0,0219, ","  95.5"," ,0,0727, ","   35.6","0,0704, ","-0.6","0,1002","-2.2","0,1010","-4.4","0,1031","-8.3","0,1115","-12.2","0,1207","-1.7","0,0513","-5.0","0,0429","-5.0","0,0429","-8.3","0,0326","-12.2","0,0324","    4319.0","0","    4319.0","0","   1110.0"," ,0","     1700"," ,0","      7.28","0","     13.36","0","      1.20","0","","","","","","","",""
"USW00014763","1935","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","    262.4","","     262.4","0","       113","0","        73","0","         6","0","","","        25","0","        22","0","       160","0","        54","0","       111","0","        15","0","","","","","","","  -26.7","0,0201,+","","","   152"," ,0,0312,+","  53.3"," ,0,0707, ","   35.0","0,0707, ","-0.6","0,0917","-4.4","0,1008","-4.4","0,1008","-7.8","0,1124","-10.6","0,1203","0.0","0,0524","-2.8","0,0417","-5.0","0,0416","-6.7","0,0327","-10.0","0,0318","    4185.0","0","    4185.0","0","    881.1"," ,0","     1543"," ,0","      7.24","0","     13.18","0","      1.31","0","","","","","","","",""
"USW00014763","1936","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","    261.9","","     261.9","0","       139","0","       105","0","         9","0","","","        23","0","        21","0","       161","0","        40","0","       131","0","        12","0","","","","","","","  -22.2","0,0220, ","","","   279"," ,0,0119, ","  43.2"," ,0,0828, ","   37.2","0,0710, ","-1.1","0,0926","-3.9","0,1025","-7.8","0,1027","-7.8","0,1027","-10.0","0,1028","-1.1","0,0522","-2.8","0,0516","-5.0","0,0425","-6.7","0,0409","-16.1","0,0308","    4153.3","3","    4153.3","0","   1130.4"," ,0","     1562"," ,0","      7.91","0","     14.22","0","      1.59","0","","","","","","","",""
"USW00014763","1937","42.42686","-73.28907","351.2","PITTSFIELD MUNICIPAL AIRPORT, MA US","","","    365.1","","     365.1","0","       106","0","        78","0","        14","0","","","        19","0","         0","0","       152","0","        38","0","       128","0","        23","0","","","","","","","  -15.6","0,1211,+","","","   254"," ,0,0316, ","  56.6"," ,0,0904, ","   35.0","0,0710,+","-1.7","0,1009","-4.4","0,1014","-4.4","0,1014","-7.2","0,1112","-14.4","0,1210","0.0","0,0425","-2.8","0,0413","-7.2","0,0331","-7.2","0,0331","-8.9","0,0326","    3688.0","0","    3688.0","0","   1160.2"," ,0","     1454"," ,0","      9.02","0","     14.46","0","      3.58","0","","","","","","","",""
