"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014995","1950","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","","","","","","","","","","","","","","","","","","","","","        48"," ","        20"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014995","1951","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    109.8","","     109.8","0","       140","0","        71","0","        10","0","      145","","        17","0","        66","0","       183","0","       102","0","       113","0","         0","0","       119"," ","        45"," ","  -39.4","0,0208,+","   686"," ,0,0321,+","   165"," ,0,0303, ","  56.1"," ,0,0909, ","   31.7","0,0725,+","-0.6","0,0924","-3.3","0,0928","-4.4","0,1008","-11.7","0,1027","-11.7","0,1027","0.0","0,0604","-3.9","0,0511","-4.4","0,0420","-9.4","0,0417","-9.4","0,0417","    5460.7","7","    5460.7","0","    975.1"," ,0","     1627"," ,0","      3.42","0","      9.60","0","     -2.76","0"
"USW00014995","1952","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    216.7","","     216.7","0","       107","0","        59","0","         6","0","      132","","        16","0","        47","0","       194","0","        87","0","       125","0","         6","0","        90"," ","        44"," ","  -38.9","0,0128, ","   584"," ,0,0327,+","   216"," ,0,1126, ","  72.4"," ,0,0720, ","   32.8","0,0606, ","-0.6","0,0920","-2.8","0,0924","-4.4","0,1003","-7.2","0,1005","-10.0","0,1016","-1.1","0,0528","-2.2","0,0517","-7.2","0,0415","-7.2","0,0415","-9.4","0,0411","    5273.1","1","    5273.1","0","    715.4"," ,0","     1325"," ,0","      5.28","0","     12.20","0","     -1.63","0"
"USW00014995","1953","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    249.0","","     249.0","0","       119","0","        57","0","         7","0","      110","","        19","0","        44","0","       188","0","        88","0","       134","0","         7","0","       102"," ","        37"," ","  -37.2","0,0116, ","   787"," ,0,0223, ","   193"," ,0,0210, ","  88.6"," ,0,0520, ","   34.4","0,0720, ","0.0","0,0907","-2.2","0,0921","-4.4","0,1027","-8.9","0,1028","-8.9","0,1028","0.0","0,0607","-3.3","0,0516","-7.2","0,0513","-7.2","0,0513","-8.9","0,0417","    5090.3","3","    5090.3","0","    877.5"," ,0","     1544"," ,0","      5.55","0","     12.57","0","     -1.47","0"
"USW00014995","1954","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    184.7","","     184.7","0","       121","0","        67","0","        10","0","      109","","        18","0","        34","0","       190","0","        81","0","       105","0","         2","0","        92"," ","        39"," ","  -38.9","0,0117, ","   254"," ,0,0202,+","    81"," ,0,0222, ","  61.7"," ,0,1010, ","   32.8","0,0719, ","-2.2","0,0922","-2.2","0,0922","-4.4","0,1017","-7.2","0,1018","-9.4","0,1030","0.0","0,0604","-5.6","0,0520","-5.6","0,0520","-8.9","0,0412","-8.9","0,0412","    4828.6","6","    4828.6","0","    960.4"," ,0","      875"," ,0","      5.25","0","     11.44","0","     -0.93","0"
"USW00014995","1955","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    348.4","","     348.4","0","       117","0","        63","0","         6","0","      144","","        22","0","        73","0","       176","0","       121","0","       139","0","        17","0","        63"," ","        38"," ","  -39.4","0,1219, ","   457"," ,0,1221,+","   142"," ,0,1116, ","  55.9"," ,0,0916, ","   37.8","0,0726, ","-4.4","0,0911","-4.4","0,0911","-4.4","0,0911","-6.7","0,1021","-9.4","0,1103","-1.1","0,0511","-6.7","0,0407","-6.7","0,0407","-6.7","0,0407","-17.2","0,0328","    4913.4","4","    4913.4","0","    757.4"," ,0","     1598"," ,0","      4.89","0","     11.78","0","     -2.00","0"
"USW00014995","1956","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    152.7","","     152.7","0","       107","0","        46","0","         7","0","      143","","         8","0","        61","0","       193","0","        93","0","       116","0","         4","0","        79"," ","        24"," ","  -34.4","0,0122, ","   432"," ,0,0331,+","   208"," ,0,1115, "," 102.9"," ,0,0803, ","   34.4","0,0611, ","-1.1","0,0907","-3.9","0,0920","-6.1","0,0930","-8.3","0,1010","-16.1","0,1116","0.0","0,0524","-7.2","0,0516","-7.2","0,0516","-7.2","0,0516","-12.8","0,0424","    5529.5","5","    5529.5","0","    702.1"," ,0","      907"," ,0","      4.35","0","     11.38","0","     -2.68","0"
"USW00014995","1957","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    186.7","","     186.7","0","       118","0","        51","0","         9","0","      131","","        13","0","        57","0","       184","0","        85","0","       120","0","         6","0","       108"," ","        21"," ","  -33.3","0,0123, ","   381"," ,0,0224,+","   152"," ,0,1118, ","  72.1"," ,0,0621, ","   34.4","0,0719, ","-0.6","0,0920","-4.4","0,0926","-4.4","0,0926","-6.7","0,1011","-9.4","0,1026","-1.1","0,0602","-2.2","0,0516","-6.1","0,0505","-7.2","0,0415","-11.1","0,0414","    5131.7","7","    5131.7","0","    799.1"," ,0","     1083"," ,0","      4.62","0","     11.18","0","     -1.95","0"
"USW00014995","1958","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    135.6","","     135.6","0","        95","0","        41","0","         8","0","       95","","         7","0","        51","0","       185","0","        79","0","       118","0","         5","0","        98"," ","        21"," ","  -32.2","0,0216, ","   203"," ,0,0222,+","   127"," ,0,0406, ","  57.2"," ,0,0905, ","   34.4","0,0809, ","-0.6","0,0927","-2.8","0,1001","-6.7","0,1005","-6.7","0,1005","-10.0","0,1110","-1.1","0,0611","-2.2","0,0521","-4.4","0,0506","-8.3","0,0429","-11.1","0,0407","    4924.0","0","    4924.0","0","    637.0"," ,0","      630"," ,0","      4.86","0","     11.72","0","     -2.00","0"
"USW00014995","1959","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    317.3","","     317.3","0","       102","0","        57","0","         7","0","       82","","        10","0","        56","0","       192","0","        89","0","       118","0","        16","0","       112"," ","        30"," ","  -34.4","0,0201, ","   102"," ,0,1225,+","   102"," ,0,1026, ","  49.0"," ,0,0707, ","   35.0","0,0502, ","-0.6","0,0916","-3.9","0,0917","-6.7","0,1017","-6.7","0,1017","-8.9","0,1105","-2.2","0,0516","-2.2","0,0516","-7.2","0,0421","-7.2","0,0421","-10.6","0,0412","    5147.0","0","    5147.0","0","    714.0"," ,0","      577"," ,0","      5.05","0","     11.60","0","     -1.49","0"
"USW00014995","1960","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    213.2","","     213.2","0","       101","0","        49","0","         3","0","       96","","        10","0","        58","0","       186","0","        97","0","       117","0","         9","0","       111"," ","        18"," ","  -32.2","0,0305, ","   279"," ,0,0107, ","   127"," ,0,0101, ","  67.1"," ,0,0827, ","   33.9","0,0802,+","-0.6","0,0929","-2.2","0,0930","-4.4","0,1003","-8.9","0,1020","-8.9","0,1020","0.0","0,0617","-3.9","0,0512","-5.0","0,0501","-10.0","0,0418","-10.0","0,0418","    5241.4","4","    5241.4","0","    583.8"," ,0","      487"," ,0","      4.70","0","     11.46","0","     -2.06","0"
"USW00014995","1961","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","        71","0","        54","0","         3","0","       36","","        13","0","","","","","","","","","","","         5"," ","         1"," ","","","   203"," ,0,1217, ","   127"," ,0,1122,+","  51.1"," ,0,0514, ","","","","","","","","","","","","","","","","","","","","","","","    4756.6","6","    4756.6"," ","    660.9"," ,0","      940"," ,0","","","","","",""
"USW00014995","1962","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014995","1963","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","        77","0","        49","0","         4","0","      105","","        14","0","","","","","","","","","","","         1"," ","","","","","   254"," ,0,0220,+","   178"," ,0,0319, ","  69.1"," ,0,0812, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    605.2"," ,0","      826"," ,0","","","","","",""
"USW00014995","1964","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    288.7","","     288.7","0","","","","","","","","","","","        42","0","       174","0","        75","0","       129","0","        21","0","","","         6"," ","  -31.1","0,1130, ","","","","","","","   36.7","0,0801,+","-0.6","0,0912","-2.8","0,0915","-6.1","0,1009","-9.4","0,1029","-9.4","0,1029","-1.7","0,0602","-2.2","0,0425","-4.4","0,0410","-7.2","0,0408","-9.4","0,0404","","","","","","","","","      6.24","0","     13.09","0","     -0.61","0"
"USW00014995","1965","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","       106","0","        83","0","        10","0","","","        30","0","        49","0","       183","0","        87","0","       110","0","         5","0","","","         1"," ","  -42.2","0,0114, ","","","   165"," ,0,0210, ","  47.5"," ,0,0807, ","   35.0","0,0722, ","-5.6","0,0926","-5.6","0,0926","-5.6","0,0926","-7.2","0,1013","-8.9","0,1028","-1.1","0,0529","-5.0","0,0428","-5.0","0,0428","-8.9","0,0331","-8.9","0,0331","","","","","   1025.2"," ,0","     1676"," ,0","      4.63","0","     10.94","0","     -1.68","0"
"USW00014995","1966","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","        80","0","        51","0","         3","0","","","        21","0","","","","","","","","","","","","","         1"," ","","","","","   254"," ,0,0323, ","  46.2"," ,0,1015, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    553.9"," ,0","     1388"," ,0","","","","","",""
"USW00014995","1967","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","        89","0","        62","0","         7","0","","","        21","0","","","","","","","","","","","","","         4"," ","","","","","   152"," ,0,0215,+","  44.2"," ,0,0802, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    737.4"," ,0","     1242"," ,0","","","","","",""
"USW00014995","1969","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    257.4","","     257.4","0","        86","0","        65","0","         2","0","","","        28","0","        45","0","       187","0","        94","0","       125","0","        19","0","","","         2"," ","  -35.6","0,0112, ","","","   152"," ,0,1228,+","  43.2"," ,0,0427, ","   36.1","0,0829, ","-0.6","0,0909","-3.3","0,0928","-7.2","0,1022","-7.2","0,1022","-11.1","0,1023","-0.6","0,0620","-2.8","0,0512","-5.6","0,0424","-7.2","0,0406","-20.6","0,0331","    4882.8","8","    4882.8","0","    610.0"," ,0","     1825"," ,0","      5.42","0","     12.27","0","     -1.44","0"
"USW00014995","1970","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    306.8","","     306.8","0","        88","0","        61","0","         9","0","      134","","        24","0","        54","0","       183","0","        83","0","       130","0","        22","0","","","         4"," ","  -39.4","0,0119, ","   635"," ,0,0109,+","   102"," ,0,0204, ","  55.9"," ,0,1009, ","   35.0","0,0814, ","0.0","0,0831","-3.9","0,0928","-5.0","0,1015","-7.8","0,1107","-12.8","0,1115","0.0","0,0506","-2.8","0,0422","-13.9","0,0412","-13.9","0,0412","-13.9","0,0412","    4872.5","5","    4872.5","0","    810.8"," ,0","      858"," ,0","      5.10","0","     12.04","0","     -1.84","0"
"USW00014995","1971","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    132.6","","     132.6","0","","","","","","","","","        32","0","        49","0","       177","0","        95","0","       109","0","         2","0","","","        36"," ","  -37.8","0,0208, ","","","   127"," ,0,0315, ","","","   33.3","0,0627, ","0.0","0,0918","-3.9","0,1012","-8.3","0,1106","-8.3","0,1106","-12.2","0,1122","-1.7","0,0512","-4.4","0,0503","-4.4","0,0503","-11.7","0,0405","-11.7","0,0405","    5080.1","1","    5080.1","0","","","     1963"," ,0","      4.77","0","     10.82","0","     -1.28","0"
"USW00014995","1972","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","","","","","","","","","","","","","","","","","","","","","","","        26"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5171.6","6","    5171.6","0","","","","","","","","","",""
"USW00014995","1974","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014995","1975","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014995","1976","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    259.4","","     259.4","0","        80","0","        47","0","         4","0","","","        16","0","        63","0","       196","0","        91","0","       128","0","        16","0","","","         6"," ","  -34.4","0,1231,+","","","   203"," ,0,0102, ","  28.7"," ,0,0613, ","   35.6","0,0819,+","-2.2","0,0923","-2.2","0,0923","-5.6","0,1006","-8.3","0,1022","-10.0","0,1027","-1.7","0,0508","-2.2","0,0507","-6.7","0,0404","-6.7","0,0404","-9.4","0,0323","","","","","    476.4"," ,0","     1214"," ,0","      4.73","0","     11.96","0","     -2.51","0"
"USW00014995","1977","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    189.1","","     189.1","0","       127","0","        70","0","         8","0","","","","","        55","0","       171","0","        88","0","       133","0","         6","0","","","         4"," ","  -41.1","0,0109, ","","","","","  44.2"," ,0,0827, ","   34.4","0,0720, ","-0.6","0,1002","-2.2","0,1012","-6.7","0,1111","-6.7","0,1111","-12.2","0,1112","-0.6","0,0509","-6.7","0,0408","-6.7","0,0408","-6.7","0,0408","-10.0","0,0324","    5003.9","9","    5003.9","0","    914.6"," ,0","","","      5.54","0","     11.78","0","     -0.70","0"
"USW00014995","1978","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5140.0","0","    5140.0","0","","","","","","","","","",""
"USW00014995","1979","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    184.7","","     184.7","0","       125","0","        67","0","         6","0","","","","","        55","0","       177","0","        85","0","       110","0","         2","0","","","         3"," ","  -36.1","0,0102, ","","","","","  49.5"," ,0,0713, ","   35.0","0,0721, ","-1.7","0,1007","-3.9","0,1010","-5.0","0,1025","-7.2","0,1107","-10.0","0,1108","-1.7","0,0504","-4.4","0,0501","-4.4","0,0501","-7.2","0,0413","-12.2","0,0407","","","","","    764.7"," ,0","","","      4.27","0","     10.23","0","     -1.68","0"
"USW00014995","1980","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    204.8","","     204.8","0","       106","0","        57","0","         6","0","","","","","        55","0","       184","0","        92","0","       122","0","         8","0","","","         5"," ","  -33.3","0,0110,+","","","","","  69.3"," ,0,0808, ","   35.6","0,0715, ","0.0","0,0923","-3.3","0,1013","-6.1","0,1027","-7.8","0,1028","-8.9","0,1110","0.0","0,0428","-3.3","0,0424","-7.2","0,0414","-7.2","0,0414","-10.0","0,0325","    4781.1","1","    4781.1","0","    694.7"," ,0","","","      5.02","0","     11.17","0","     -1.13","0"
"USW00014995","1981","45.7728","-92.6886","301.8","GRANTSBURG, WI US","    152.1","","     152.1","0","       115","0","        67","0","         4","0","","","","","        35","0","       173","0","        65","0","       108","0","         0","0","","","","","  -32.8","0,0212,+","","","","","  89.9"," ,0,0614, ","   31.7","0,0707, ","-1.1","0,0928","-3.9","0,1002","-5.6","0,1019","-6.7","0,1023","-12.2","0,1121","-1.1","0,0518","-2.2","0,0511","-4.4","0,0420","-7.2","0,0405","-10.0","0,0308","    4743.1","1","    4743.1","0","    831.1"," ,0","","","      6.02","0","     11.86","0","      0.17","0"
"USW00014995","1982","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","       136","0","        86","0","         6","0","","","        27","0","","","","","        95","0","       104","0","         2","0","        11"," ","         1"," ","","","","","   432"," ,0,1228, ","  61.5"," ,0,0511, ","   32.8","0,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","    863.3"," ,0","     2433"," ,0","","","     10.26","0","",""
"USW00014995","1983","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","       151","0","        83","0","         5","0","","","        25","0","","","","","        90","0","       108","0","         3","0","         6"," ","","","","","","","   356"," ,0,1124, ","  34.3"," ,0,1011, ","   32.2","0,0808,+","","","","","","","","","","","","","","","","","","","","","","","","","    851.8"," ,0","     2111"," ,0","","","     10.69","0","",""
"USW00014995","1984","45.7728","-92.6886","301.8","GRANTSBURG, WI US","","","","","       109","0","        62","0","        10","0","","","        14","0","","","","","        79","0","       102","0","         0","0","         4"," ","","","","","","","   127"," ,0,0112, "," 134.1"," ,0,0612, ","   31.1","0,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","    917.8"," ,0","      818"," ,0","","","     11.19","0","",""
