"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00022001","1953","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        17"," ","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00022001","1954","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   1959.3","","    1959.3","X","        38","X","        21","X","         6","X","        0","","         0","X","         0","X","         6","X","         0","X","       305","X","       141","X","        25"," ","","","        19"," ","   -2.8","X,1229, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  45.0"," ,X,0518, ","   42.8","X,0727, ","-2.8","X,1229","-2.8","X,1229","","","","","-0.6","X,0306","-2.2","X,0122","","","","","","","     676.0","0","     676.0","X","    389.6"," ,X","        0"," ,X","     22.09","X","     28.17","X","     16.00","X","","","","","","","",""
"USW00022001","1955","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   1877.6","","    1877.6","X","        52","X","        25","X","         1","X","        0","","         0","X","         0","X","        14","X","         0","X","       281","X","       139","X","        40"," ","","","        24"," ","   -4.4","X,0212, ","     0"," ,X,1231,+","     0","T,X,1108,+","  32.5"," ,X,0604, ","   38.9","X,0809,+","-0.6","X,1129","","","","","","","-1.1","X,0328","-4.4","X,0212","-4.4","X,0212","","","","","     708.7","7","     708.7","X","    287.4"," ,X","        0","T,X","     21.27","X","     27.30","X","     15.24","X","","","","","","","",""
"USW00022001","1956","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   2009.3","","    2009.3","X","        24","X","         5","X","         1","X","        0","","         0","X","         0","X","        11","X","         0","X","       294","X","       157","X","        38"," ","","","        12"," ","   -4.4","X,0204, ","     0"," ,X,1231,+","     0","T,X,0203,+","  70.9"," ,X,1018, ","   40.6","X,0615, ","0.0","X,1127","","","","","","","-0.6","X,0211","-3.3","X,0205","-4.4","X,0204","","","","","     760.0","0","     760.0","X","    118.8"," ,X","        0","T,X","     21.86","X","     28.15","X","     15.57","X","","","","","","","",""
"USW00022001","1957","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   1750.9","","    1750.9","X","        66","X","        37","X","         9","X","        0","","         0","X","         0","X","         6","X","         0","X","       267","X","       111","X","        86"," ","","","        43"," ","   -4.4","X,0118, ","     0"," ,X,1231,+","     0","T,X,1123,+","  73.9"," ,X,1015, ","   40.0","X,0731, ","0.0","X,1123","-2.8","X,1201","","","","","-4.4","X,0118","-4.4","X,0118","-4.4","X,0118","","","","","     629.7","7","     629.7","X","    716.4"," ,X","        0","T,X","     21.14","X","     26.35","X","     15.93","X","","","","","","","",""
"USW00022001","1958","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   1613.7","","    1613.7","X","        78","X","        44","X","        11","X","        0","","         0","X","         0","X","        11","X","         0","X","       248","X","       109","X","       106"," ","","","        23"," ","   -4.4","X,1215, ","     0"," ,X,1231,+","     0","T,X,0212, "," 145.3"," ,X,0513, ","   38.3","X,0823,+","-1.1","X,1211","-2.8","X,1214","-4.4","X,1215","","","0.0","X,0213","","","","","","","","","     955.3","3","     955.3","X","    889.5"," ,X","        0","T,X","     19.96","X","     25.20","X","     14.71","X","","","","","","","",""
"USW00022001","1959","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   1699.7","","    1699.7","X","        56","X","        27","X","         8","X","        0","","         0","X","         0","X","        21","X","         0","X","       256","X","       123","X","        86"," ","","","        35"," ","   -6.1","X,0104, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  77.0"," ,X,0501, ","   39.4","X,0901, ","-2.8","X,1107","-2.8","X,1107","","","","","-2.2","X,0306","-2.2","X,0306","-6.1","X,0104","","","","","     983.8","8","     983.8","X","    586.0"," ,X","        0"," ,X","     20.24","X","     26.12","X","     14.36","X","","","","","","","",""
"USW00022001","1960","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   1885.6","","    1885.6","X","        80","X","        36","X","         5","X","        0","","         0","X","         0","X","        21","X","         0","X","       259","X","       143","X","        74"," ","","","        35"," ","   -5.6","X,0225, ","     0","T,X,0212, ","     8"," ,X,0212, ","  44.7"," ,X,0923, ","   42.2","X,0730,+","0.0","X,1215","","","","","","","0.0","X,0318","-5.6","X,0225","-5.6","X,0225","","","","","    1010.9","9","    1010.9","X","    454.9"," ,X","        8"," ,X","     20.78","X","     26.60","X","     14.95","X","","","       360","X","","","      26.2","X"
"USW00022001","1961","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   1702.5","","    1702.5","X","        56","X","        28","X","         7","X","        0","","         0","X","         0","X","        10","X","         0","X","       277","X","       127","X","        51"," ","","","        29"," ","   -3.9","X,0125, ","     0","T,X,0206,+","     0","T,X,0206,+"," 118.6"," ,X,0617, ","   37.2","X,0901, ","-2.2","X,1213","-2.2","X,1213","","","","","-1.1","X,0225","-2.2","X,0207","","","","","","","     906.2","2","     906.2","X","    656.7"," ,X","        0","T,X","     20.54","X","     26.51","X","     14.56","X","","","","","","","",""
"USW00022001","1962","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","   1883.9","","    1883.9","X","        54","X","        24","X","         3","X","        0","","         0","X","         0","X","        18","X","         2","X","       282","X","       144","X","        42"," ","","","        32"," ","  -13.3","X,0112, ","     0"," ,X,1231,+","     0","T,X,0314,+","  34.3"," ,X,0426, ","   40.0","X,0810, ","0.0","X,1206","","","","","","","-0.6","X,0316","-2.2","X,0302","-7.2","X,0113","-7.2","X,0113","-13.3","X,0112","     881.4","4","     881.4","X","    302.3"," ,X","        0","T,X","     21.17","X","     27.34","X","     14.99","X","","","","","","","",""
"USW00022001","1963","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","","","","","","","        0","","","","","","","","","","","","","","        26"," ","","","        24"," ","","","     0"," ,X,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","     871.3","3","     871.3","X","","","","","","","","","","","","","","","","","",""
"USW00022001","1965","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","","","","","","","        0","","","","","","","","","","","","","","","","","","","","","","     0"," ,X,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00022001","1966","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","","","","","","","        0","","","","","","","","","","","","","","","","","","","","","","     0"," ,X,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       270","X","","","      28.3","X"
"USW00022001","1967","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","","","","","","","        0","","","","","","","","","","","","","","","","","","","","","","     0"," ,X,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        90","X","","","      31.9","X"
"USW00022001","1968","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","","","","","","","        0","","","","","","","","","","","","","","","","","","","","","","     0"," ,X,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00022001","1969","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","        62","X","        36","X","        11","X","        0","","         0","X","","","","","","","","","","","","","","","","","","","     0"," ,X,1231,+","     0","T,X,1229, ","  91.4"," ,X,1004, ","","","","","","","","","","","","","","","","","","","","","","","","","    898.2"," ,X","        0","T,X","","","","","","","","","","","","","",""
"USW00022001","1970","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","        46","X","        28","X","         4","X","        0","","         0","X","","","","","","","","","","","","","","","","","","","     0"," ,X,1231,+","     0"," ,X,1231,+"," 117.1"," ,X,0926, ","","","","","","","","","","","","","","","","","","","","","","","","","    430.5"," ,X","        0"," ,X","","","","","","","","","       130","X","","","      37.5","X"
"USW00022001","2018","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        54"," ","         4"," ","        25"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00022001","2019","29.36667","-100.78333","329.8","DEL RIO LAUGHLIN AFB, TX US","","","","","","","        52","W","        22","W","         4","W","","","","","","","","","","","","","","","       104"," ","        14"," ","        37"," ","","","","","",""," 177.0"," ,W,0604, ","","","","","","","","","","","","","","","","","","","","","","","","","    501.3"," ,W","","","","","","","","","","","","","","","",""
