"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023034","1908","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1374.9","","    1374.9","0","","","","","","","","","","","         0","0","        38","0","         0","0","       281","0","       124","0","","","","","","","   -9.4","0,0202, ","","","","","","","   42.8","0,0619, ","0.0","0,1024","-5.0","0,1114","-5.0","0,1114","","","","","0.0","0,0430","-2.2","0,0219","-9.4","0,0202","-9.4","0,0202","-9.4","0,0202","","","","","","","","","","","","","","","","","","","","","     19.31","0","     27.49","0","     11.13","0","","","","","","","","","","","","","","","",""
"USW00023034","1909","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     982.5","5","","","     982.5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023034","1911","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1533.7","","    1533.7","0","","","","","","","","","","","         0","0","        38","0","         3","0","       266","0","       137","0","","","","","","","  -15.0","0,0103, ","","","","","","","   42.2","0,0723, ","-1.1","0,1021","-4.4","0,1112","-4.4","0,1112","-6.7","0,1128","-11.1","0,1129","-4.4","0,0224","-4.4","0,0224","-4.4","0,0224","-9.4","0,0105","-9.4","0,0105","","","","","","","","","","","","","","","","","","","","","     19.46","0","     27.08","0","     11.84","0","","","","","","","","","","","","","","","",""
"USW00023034","1912","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1558.8","8","","","    1558.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023034","1917","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","         0","0","        67","0","","","","","","","","","","","","","  -11.7","0,0202, ","","","","","","","","","-0.6","0,1019","-7.2","0,1030","-7.2","0,1030","-7.2","0,1030","-10.0","0,1208","-1.1","0,0327","-5.0","0,0326","-5.0","0,0326","-10.0","0,0304","-10.0","0,0304","","","","","","","","","","","","","","","","","","","","","","","","","      9.70","0","","","","","","","","","","","","","","","",""
"USW00023034","1924","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1304.9","","    1304.9","0","","","","","","","","","","","         0","0","        66","0","         1","0","       253","0","       109","0","","","","","","","  -12.2","0,0227, ","","","","","","","   43.3","0,0616, ","-1.1","0,1026","-2.2","0,1123","-5.0","0,1124","-11.7","0,1219","-11.7","0,1219","-2.2","0,0401","-2.2","0,0401","-5.0","0,0311","-10.0","0,0228","-10.0","0,0228","","","","","","","","","","","","","","","","","","","","","     18.06","0","     26.26","0","      9.86","0","","","","","","","","","","","","","","","",""
"USW00023034","1931","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1348.7","","    1348.7","0","","","","","","","","","","","         0","0","        32","0","         0","0","       237","0","       120","0","","","","","","","   -4.4","0,0327,+","","","","","","","   39.4","0,0613, ","0.0","0,1126","-2.2","0,1215","","","","","","","-0.6","0,0405","-3.9","0,0328","-4.4","0,0327","","","","","    1486.2","2","","","    1486.2","0","","","","","","","","","","","","","","","     18.27","0","     24.78","0","     11.76","0","","","","","","","","","","","","","","","",""
"USW00023034","1932","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1174.6","","    1174.6","0","","","","","","","","","","","         0","0","        64","0","         5","0","       249","0","        82","0","","","","","","","   -7.8","0,1212, ","","","","","","","   41.1","0,0803, ","0.0","0,1026","-3.9","0,1112","-6.1","0,1116","-7.8","0,1212","","","0.0","0,0322","-4.4","0,0314","-4.4","0,0314","","","","","    1223.2","2","","","    1223.2","0","","","","","","","","","","","","","","","     17.51","0","     24.16","0","     10.86","0","","","","","","","","","","","","","","","",""
"USW00023034","1933","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1600.9","","    1600.9","0","","","","","","","","","","","         0","0","        30","0","         2","0","       284","0","       134","0","","","","","","","  -16.1","0,0208, ","","","","","","","   43.9","0,0715, ","-0.6","0,1207","-3.3","0,1219","-5.6","0,1227","","","","","0.0","0,0320","-2.2","0,0222","-4.4","0,0221","-6.7","0,0212","-9.4","0,0211","    1417.4","4","","","    1417.4","0","","","","","","","","","","","","","","","     19.70","0","     27.21","0","     12.20","0","","","","","","","","","","","","","","","",""
"USW00023034","1934","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1646.1","","    1646.1","0","","","","","","","","","","","         0","0","        36","0","         0","0","       264","0","       140","0","","","","","","","   -8.3","0,0227, ","","","","","","","   42.2","0,0621, ","-1.1","0,1130","-2.2","0,1204","","","","","","","0.0","0,0327","-2.2","0,0318","-5.6","0,0228","-8.3","0,0227","","","    1163.8","8","","","    1163.8","0","","","","","","","","","","","","","","","     19.57","0","     26.90","0","     12.23","0","","","","","","","","","","","","","","","",""
"USW00023034","1935","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1238.7","","    1238.7","0","","","","","","","","","","","         0","0","        30","0","         1","0","       247","0","        89","0","","","","","","","  -11.1","0,0122,+","","","","","","","   39.4","0,0810, ","0.0","0,1111","-2.8","0,1217","","","","","","","-5.0","0,0227","-5.0","0,0227","-5.0","0,0227","-7.2","0,0123","-11.1","0,0122","    1047.9","9","","","    1047.9","0","","","","","","","","","","","","","","","     18.30","0","     24.81","0","     11.79","0","","","","","","","","","","","","","","","",""
"USW00023034","1936","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1418.0","","    1418.0","0","","","","","","","","","","","         0","0","        60","0","         5","0","       247","0","       118","0","","","","","","","  -11.1","0,0218,+","","","","","","","   41.7","0,0813,+","-3.3","0,1104","-3.3","0,1104","","","","","","","0.0","0,0408","-2.8","0,0221","-6.7","0,0220","-6.7","0,0220","-10.6","0,0219","    1449.3","3","","","    1449.3","0","","","","","","","","","","","","","","","     18.07","0","     25.22","0","     10.91","0","","","","","","","","","","","","","","","",""
"USW00023034","1937","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1411.1","","    1411.1","0","","","","","","","","","","","         0","0","        67","0","         4","0","       244","0","       128","0","","","","","","","   -9.4","0,0110, ","","","","","","","   41.1","0,0811, ","-2.8","0,1117","-2.8","0,1117","-4.4","0,1119","","","","","-0.6","0,0331","-2.8","0,0328","-6.1","0,0228","-7.2","0,0124","-9.4","0,0110","    1590.5","5","","","    1590.5","0","","","","","","","","","","","","","","","     17.89","0","     24.97","0","     10.80","0","","","","","","","","","","","","","","","",""
