"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023174","1944","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","        14"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023174","1945","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","","","        37","0","        21","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       133","0","         2","0","        22"," ","","","         2"," ","    1.7","0,0305, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.2"," ,0,1222, ","   36.1","0,1002, ","","","","","","","    1149.8","8","","","    285.1"," ,0","        0"," ,0","     15.67","0","     20.21","0","     11.14","0","","","","","","","","","","","",""
"USW00023174","1946","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","    176.8","","     176.8","0","        41","0","        24","0","         5","0","        0","","         0","0","         0","0","         0","0","         0","0","       159","0","         2","0","        23"," ","","","         2"," ","    1.1","0,0131, ","     0"," ,0,1231,+","     0","T,0,0211, ","  67.8"," ,0,1112, ","   33.3","0,0918, ","","","","","","","","","","","    415.6"," ,0","        0","T,0","     15.63","0","     20.24","0","     11.01","0","","","","","","","","","","","",""
"USW00023174","1947","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","    189.3","","     189.3","0","        27","0","         9","0","         0","0","        0","","         0","0","         0","0","         1","0","         0","0","       197","0","         2","0","       158"," ","","","         2"," ","   -0.6","0,0116, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.7"," ,0,1204, ","   32.2","0,0413,+","","","-0.6","0,0116","","","    1011.0","0","    1011.0","0","     79.7"," ,0","        0"," ,0","     16.16","0","     21.17","0","     11.15","0","","","","","","","","","","","",""
"USW00023174","1948","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","     81.8","","      81.8","0","        27","0","        16","0","         0","0","        0","","         0","0","         0","0","         1","0","         0","0","       170","0","         0","0","       133"," ","","","","","    0.0","0,0128, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.6"," ,0,0205, ","   31.1","0,0927,+","","","0.0","0,0128","","","    1135.3","3","    1135.3","0","    160.2"," ,0","        0"," ,0","     15.37","0","     20.28","0","     10.46","0","","","","","","","","","","","",""
"USW00023174","1949","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","    242.0","","     242.0","0","        42","0","        24","0","         1","0","        0","","         0","0","         0","0","         3","0","         0","0","       174","0","         7","0","       120"," ","","","         1"," ","   -2.8","0,0104, ","     0"," ,0,1231,+","     0","T,0,0111,+","  26.2"," ,0,1218, ","   33.9","0,0622, ","","","-0.6","0,0110","-2.8","0,0104","    1218.2","2","    1218.2","0","    239.1"," ,0","        0","T,0","     15.77","0","     20.18","0","     11.36","0","","","","","","","","","","","",""
"USW00023174","1950","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","    168.9","","     168.9","0","        29","0","        13","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       157","0","         5","0","       167"," ","","","         2"," ","    0.6","0,0113, ","     0"," ,0,1231,+","     0","T,0,0409, ","  38.9"," ,0,0206, ","   36.1","0,1013, ","","","","","","","    1168.9","9","    1168.9","0","    170.1"," ,0","        0","T,0","     15.84","0","     20.04","0","     11.64","0","","","","","","","","","","","",""
"USW00023174","1951","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","    195.5","","     195.5","0","        38","0","        21","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       158","0","         2","0","       106"," ","","","         3"," ","    0.6","0,1209,+","     0"," ,0,1231,+","     0","T,0,0301,+","  72.1"," ,0,1229, ","   35.6","0,1007, ","","","","","","","     953.8","8","     953.8","0","    280.9"," ,0","        0","T,0","     16.08","0","     20.31","0","     11.85","0","","","","","       270","X","","","","","      24.1","X"
"USW00023174","1952","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","    166.3","","     166.3","0","        45","0","        30","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       155","0","         0","0","       142"," ","","","         6"," ","    1.1","0,0103, ","     0"," ,0,1231,+","     0","T,0,1230,+","  44.5"," ,0,0315, ","   31.7","0,1104, ","","","","","","","    1025.3","3","    1025.3","0","    472.7"," ,0","        0","T,0","     15.80","0","     20.04","0","     11.56","0","","","","","       270","X","","","","","      27.7","X"
"USW00023174","1953","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","    241.2","","     241.2","0","        19","0","         9","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       188","0","         5","0","       114"," ","","","         1"," ","    2.2","0,1226,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.7"," ,0,1114, ","   38.3","0,1004, ","","","","","","","     964.2","2","     964.2","0","    121.0"," ,0","        0"," ,0","     16.55","0","     21.37","0","     11.73","0","","","","","       360","X","","","","","      25.5","X"
