"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00024144","1939","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","    189.0","","     189.0","0","","","","","","","","","","","        14","0","       172","0","        30","0","       118","0","        34","0","","","","","","","  -37.8","0,0209, ","","","","","","","   37.8","0,0709, ","-0.6","0,0928","-4.4","0,1007","-4.4","0,1007","-8.9","0,1024","-8.9","0,1024","0.0","0,0512","-5.0","0,0418","-5.0","0,0418","-8.9","0,0417","-8.9","0,0417","    4165.1","1","    4165.1","0","","","","","","","      7.63","0","     15.15","0","      0.11","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1940","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","    251.0","","     251.0","0","        89","0","        29","0","         0","0","       54","","","","        27","0","       161","0","        53","0","       132","0","        27","0","","","","","        53"," ","  -28.9","0,0121, ","   152"," ,0,1123,+","","","  16.5"," ,0,0928, ","   39.4","0,0812, ","-2.2","0,1006","-2.2","0,1006","-5.0","0,1104","-8.3","0,1105","-11.1","0,1108","0.0","0,0507","-2.2","0,0423","-4.4","0,0416","-14.4","0,0411","-14.4","0,0411","    4111.5","5","    4111.5","0","    259.9"," ,0","","","","","      7.43","0","     14.28","0","      0.58","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1941","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","    167.3","","     167.3","0","       108","0","        38","0","         1","0","       36","","         8","0","         9","0","       180","0","        38","0","        98","0","        13","0","","","","","        61"," ","  -33.9","0,1231, ","   254"," ,0,1230,+","   272"," ,0,1224, ","  25.4"," ,0,0920, ","   36.7","0,0718,+","-0.6","0,0916","-4.4","0,1005","-4.4","0,1005","-8.3","0,1029","-10.6","0,1030","0.0","0,0509","-7.8","0,0419","-7.8","0,0419","-7.8","0,0419","-11.7","0,0316","    4108.7","7","    4108.7","0","    361.8"," ,0","","","      765"," ,0","      7.06","0","     13.93","0","      0.19","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1942","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","    132.5","","     132.5","0","        98","0","        36","0","         0","0","       92","","        16","0","        29","0","       189","0","        57","0","       106","0","        18","0","","","","","        44"," ","  -38.3","0,0105, ","   406"," ,0,0109,+","   135"," ,0,0215, ","  19.3"," ,0,0512, ","   36.1","0,0819, ","0.0","0,0917","-2.2","0,0926","-4.4","0,1023","-8.9","0,1024","-8.9","0,1024","0.0","0,0529","-2.2","0,0518","-4.4","0,0424","-6.7","0,0406","-8.9","0,0329","    4897.2","2","    4897.2","0","    253.3"," ,0","","","     1220"," ,0","      5.51","0","     12.22","0","     -1.20","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1943","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","    112.2","","     112.2","0","        92","0","        25","0","         1","0","       85","","        18","0","        35","0","       177","0","        68","0","       119","0","        13","0","","","","","        34"," ","  -36.1","0,0118, ","   432"," ,0,0127,+","   168"," ,0,0115, ","  30.5"," ,0,0602, ","   35.6","0,0725, ","-1.1","0,0908","-3.3","0,0919","-4.4","0,1014","-9.4","0,1101","-9.4","0,1101","0.0","0,0519","-3.3","0,0517","-4.4","0,0513","-6.7","0,0323","-9.4","0,0322","    4895.5","5","    4895.5","0","    236.3"," ,0","","","     1279"," ,0","      5.22","0","     12.39","0","     -1.96","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1944","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","     57.0","","      57.0","0","       103","0","        38","0","         1","0","       66","","        15","0","        24","0","       191","0","        65","0","       104","0","         3","0","","","","","        59"," ","  -32.2","0,1223, ","   203"," ,0,1222, ","   104"," ,0,0224, ","  27.9"," ,0,0518, ","   33.3","0,0728, ","-2.8","0,0918","-2.8","0,0918","-6.7","0,1001","-6.7","0,1001","-10.6","0,1115","-1.7","0,0524","-3.3","0,0523","-4.4","0,0419","-12.8","0,0328","-12.8","0,0328","    4481.0","0","    4481.0","0","    326.8"," ,0","","","      985"," ,0","      5.63","0","     12.75","0","     -1.49","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1945","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","    160.1","","     160.1","0","        93","0","        30","0","         0","0","       55","","         9","X","        14","0","       176","0","        46","0","       106","0","        18","0","","","","","        37"," ","  -31.1","0,0305, ","   152"," ,0,1224,+","    81"," ,X,1216, ","  20.3"," ,0,0610, ","   35.6","0,0721, ","-1.1","0,0912","-2.2","0,0927","-6.1","0,1021","-6.7","0,1105","-13.3","0,1106","0.0","0,0521","-3.9","0,0417","-7.8","0,0414","-7.8","0,0414","-11.1","0,0403","    4572.3","3","    4572.3","0","    246.0"," ,0","","","      599"," ,X","      6.54","0","     13.32","0","     -0.25","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1946","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","    124.6","","     124.6","0","       106","0","        38","0","         0","0","       43","","        12","0","        14","0","       181","0","        25","0","       108","0","        18","0","","","","","        57"," ","  -27.8","0,1228,+","   203"," ,0,1120, ","   218"," ,0,1120, ","  18.5"," ,0,0916, ","   36.7","0,0721, ","0.0","0,0923","-2.2","0,0928","-7.2","0,1015","-7.2","0,1015","-11.1","0,1016","-1.1","0,0520","-5.0","0,0510","-5.0","0,0510","-6.7","0,0408","-11.1","0,0307","    4040.8","8","    4040.8","0","    316.7"," ,0","","","     1038"," ,0","      7.14","0","     13.87","0","      0.40","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1947","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","    119.4","","     119.4","0","       104","0","        41","0","         2","0","       53","","        12","0","        23","0","       166","0","        56","0","       104","0","        15","0","","","","","        68"," ","  -27.8","0,0102, ","   178"," ,0,1112, ","   201"," ,0,1111, ","  39.4"," ,0,0609, ","   36.1","0,0808,+","-1.1","0,0917","-2.2","0,0919","-4.4","0,1105","-8.9","0,1109","-8.9","0,1109","-2.2","0,0528","-2.2","0,0528","-4.4","0,0423","-8.3","0,0309","-10.6","0,0308","    4573.4","4","    4573.4","0","    360.9"," ,0","","","      976"," ,0","      6.63","0","     13.12","0","      0.14","0","","","","","","","","","","","","","","","","","",""
"USW00024144","1948","46.60444","-111.98921","1178.1","HELENA AIRPORT ASOS, MT US","","","     67.4","","      67.4","0","       104","0","        32","0","         1","0","       70","","         9","0","        36","0","       191","0","        56","0","       109","0","         6","0","        15"," ","","","        59"," ","  -30.0","0,0211, ","   178"," ,0,1204, ","   150"," ,0,1203, ","  25.7"," ,0,0508, ","   34.4","0,0914,+","-0.6","0,0928","-3.9","0,1009","-7.8","0,1016","-7.8","0,1016","-9.4","0,1017","0.0","0,0509","-3.3","0,0503","-6.1","0,0412","-6.7","0,0407","-8.9","0,0325","    4493.2","2","    4493.2","0","    316.9"," ,0","","","      947"," ,0","      5.61","0","     12.28","0","     -1.07","0","","","","","","","","","","","","","","","","","",""
