"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00025309","1936","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1941","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1942","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","      0.0","","       0.0","6","","","","","","","","","","","         3","6","       128","6","        36","6","        34","6","         0","6","","","","","","","  -20.6","6,1225, ","","","","","","","   26.7","6,0807,+","-0.6","6,0917","-3.3","6,1102","-6.1","6,1103","-6.7","6,1104","-11.7","6,1106","-1.1","6,0424","-3.9","6,0415","-5.0","6,0406","-12.2","6,0324","-12.2","6,0324","","","","","","","","","","","      5.90","6","     10.34","6","      1.46","6","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1948","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","        31"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1949","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","      0.0","","       0.0","0","       243","0","       144","0","        13","0","       92","","        24","0","        17","0","       141","0","        59","0","        13","0","         0","0","        71"," ","","","","","  -29.4","0,1231, ","  1041"," ,0,0224, ","   597"," ,0,0213, ","  59.7"," ,0,0213, ","   23.9","0,0830,+","-1.7","0,1006","-3.3","0,1007","-5.6","0,1017","-7.8","0,1209","-8.9","0,1210","0.0","X,0527","-2.8","X,0507","-4.4","X,0320","-6.7","X,0317","-16.1","X,0222","    5299.1","1","    5299.1","0","   1565.9"," ,0","","","     2312"," ,0","      4.01","0","      7.77","0","      0.25","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1950","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","      1.9","","       1.9","0","       186","0","       104","0","         5","0","      135","","        25","0","        24","0","       181","0","        78","0","        31","0","         0","0","        48"," ","","","","","  -28.3","0,0101, ","   864"," ,0,0216, ","   264"," ,0,1205, ","  43.9"," ,0,0825, ","   28.3","0,0617, ","-1.1","0,0930","-2.8","0,1003","-4.4","0,1017","-7.8","0,1029","-10.6","0,1106","0.0","0,0531","-3.9","0,0427","-7.2","0,0408","-7.2","0,0408","-8.9","0,0315","    5379.0","0","    5379.0","0","    996.5"," ,0","","","     2338"," ,0","      3.17","0","      7.34","0","     -1.00","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1951","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","      2.0","","       2.0","0","       188","0","       110","0","         2","0","      115","","        26","0","        23","0","       158","0","        85","0","        29","0","         0","0","        64"," ","","","","","  -22.2","0,0210,+","   330"," ,0,1224,+","   175"," ,0,0214, ","  30.0"," ,0,1010, ","   28.3","0,0705,+","-1.7","0,0925","-2.8","0,0926","-4.4","0,1015","-7.2","0,1024","-9.4","0,1114","-1.1","0,0505","-2.2","0,0502","-4.4","0,0419","-17.2","0,0316","-17.2","0,0316","    5485.0","0","    5485.0","0","    961.3"," ,0","","","     2242"," ,0","      3.59","0","      7.51","0","     -0.33","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1952","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","      0.0","","       0.0","0","       250","0","       159","0","        14","0","      101","","        25","0","        14","0","       125","0","        35","0","        18","0","         0","0","        84"," ","","","         1"," ","  -27.2","0,0123, ","   711"," ,0,0128, ","   157"," ,0,0112, ","  69.3"," ,0,0913, ","   25.6","0,0722,+","-1.1","0,0908","-2.8","0,1114","-5.6","0,1115","-7.8","0,1207","","","0.0","0,0526","-2.2","0,0430","-8.3","0,0406","-8.3","0,0406","-9.4","0,0331","    5281.4","4","    5281.4","0","   1670.6"," ,0","","","     1858"," ,0","      4.70","0","      7.93","0","      1.47","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1953","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","      1.5","","       1.5","0","       239","0","       131","0","         8","0","       34","","        19","0","         7","0","       130","0","        37","0","        24","0","         0","0","        80"," ","","","         1"," ","  -20.6","0,0128, ","   203"," ,0,1103, ","   180"," ,0,1103, ","  56.6"," ,0,1022, ","   27.2","0,0626, ","0.0","0,1007","-2.2","0,1101","-6.7","0,1106","-6.7","0,1106","-8.9","0,1108","-0.6","0,0505","-2.8","0,0424","-5.0","0,0323","-13.9","0,0313","-13.9","0,0313","    4636.7","7","    4636.7","0","   1384.4"," ,0","","","     1200"," ,0","      5.39","0","      8.87","0","      1.91","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00025309","1954","58.354","-134.55606","5.9","JUNEAU AIRPORT, AK US","","","      0.0","","       0.0","0","       196","0","       118","0","         2","0","       71","","        23","0","         9","0","       155","0","        52","0","        20","0","         0","0","        65"," ","","","","","  -22.2","0,0127, ","   254"," ,0,1228,+","   191"," ,0,0227, ","  35.6"," ,0,0920, ","   26.7","0,0604, ","0.0","0,0916","-5.0","0,1003","-5.0","0,1003","-9.4","0,1130","-9.4","0,1130","-0.6","0,0515","-3.3","0,0501","-6.7","0,0429","-6.7","0,0429","-9.4","0,0404","    5084.5","5","    5084.5","0","   1046.7"," ,0","","","     1867"," ,0","      4.30","0","      8.26","0","      0.34","0","","","","","","","","","","","","","","","","","","","","","",""
