"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00063869","2007","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1218.3","","    1218.3","R","        95","R","        70","R","        18","R","         0","R","        33","R","         0","R","       273","R","        39","R","   -7.3","R,0217, ","  75.6"," ,R,1018, ","   35.2","R,0811, ","-0.1","R,1107","-2.7","R,1204","","","","","0.0","R,0318","-2.2","R,0306","-5.8","R,0219","-7.3","R,0217","","","","","","","   1347.6"," ,R","     18.87","R","     25.18","R","     12.55","R"
"USW00063869","2008","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1115.9","","    1115.9","R","       101","R","        79","R","        21","R","         0","R","        41","R","         0","R","       267","R","        22","R","   -6.0","R,0103, "," 142.7"," ,R,0516, ","   33.8","R,0721, ","-1.4","R,1029","-2.6","R,1118","-4.5","R,1121","","","-1.0","R,0326","-3.7","R,0325","-4.7","R,0214","","","","","    1046.3","3","    1046.3","R","   1757.5"," ,R","     18.25","R","     24.41","R","     12.09","R"
"USW00063869","2009","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1216.9","","    1216.9","R","       116","R","        77","R","        25","R","         0","R","        34","R","         0","R","       256","R","        33","R","   -8.5","R,0121, ","  93.8"," ,R,0504, ","   36.1","R,0624,+","-1.8","R,1127","-2.7","R,1205","","","","","-1.1","R,0408","-2.3","R,0304","-4.4","R,0221","-7.4","R,0205","","","    1052.6","6","    1052.6","R","   1850.7"," ,R","     18.62","R","     24.39","R","     12.85","R"
"USW00063869","2010","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1254.3","","    1254.3","R","       106","R","        78","R","        21","R","         0","R","        59","R","         0","R","       243","R","        66","R","  -11.0","R,0111, ","  66.7"," ,R,0129, ","   37.4","R,0801, ","-0.4","R,1107","-2.3","R,1202","-5.0","R,1209","-6.7","R,1227","-3.1","R,0307","-3.1","R,0307","-5.5","R,0225","-11.0","R,0111","-11.0","R,0111","    1402.8","8","    1402.8","R","   1420.4"," ,R","     17.77","R","     23.96","R","     11.58","R"
"USW00063869","2011","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1206.4","4","    1206.4","R","","","","","","","",""
"USW00063869","2012","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1166.0","","    1166.0","R","       104","R","        71","R","        15","R","         0","R","        21","R","         0","R","       284","R","        28","R","   -7.2","R,0104, "," 147.1"," ,R,0502, ","   34.6","R,0626, ","-1.7","R,1124","-4.2","R,1125","","","","","0.0","R,0220","-2.9","R,0212","-6.1","R,0114","-7.2","R,0104","","","","","","","   1481.1"," ,R","     19.35","R","     25.33","R","     13.37","R"
"USW00063869","2013","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1119.2","","    1119.2","R","","","","","","","         0","R","        26","R","         0","R","       255","R","        12","R","   -4.9","R,0217, ","","","   33.5","R,0804, ","-1.9","R,1113","-3.0","R,1128","","","","","0.0","R,0329","-2.8","R,0327","-4.9","R,0217","","","","","    1045.4","4","    1045.4","R","","","     18.44","R","     24.21","R","     12.67","R"
"USW00063869","2014","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1140.5","","    1140.5","R","","","","","","","         0","R","        38","R","         1","R","       249","R","        34","R","   -9.0","R,0107, ","","","   35.9","R,0824, ","-0.8","R,1114","-5.5","R,1118","-5.5","R,1118","-7.2","R,1119","-2.5","R,0326","-2.5","R,0326","-5.1","R,0228","-7.2","R,0130","-8.9","R,0108","    1227.5","5","    1227.5","R","","","     18.04","R","     24.07","R","     12.01","R"
"USW00063869","2015","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1372.8","","    1372.8","R","       119","R","        91","R","        22","R","         0","R","        21","R","         0","R","       277","R","        50","R","   -7.9","R,0108, "," 106.9"," ,R,1026, ","   34.9","R,0812, ","-1.3","R,1219","","","","","","","-2.5","R,0306","-2.5","R,0306","-7.9","R,0108","-7.9","R,0108","","","    1061.8","8","    1061.8","R","   1718.0"," ,R","     19.82","R","     25.22","R","     14.43","R"
"USW00063869","2016","30.5485","-87.8757","29.0","FAIRHOPE 3 NE, AL US","   1372.9","","    1372.9","R","       110","R","        68","R","        21","R","         0","R","        21","R","         0","R","       281","R","        55","R","   -4.8","R,0124, "," 108.7"," ,R,0401, ","   34.3","R,0702,+","-1.3","R,1121","","","","","","","-1.4","R,0228","-4.4","R,0210","-4.4","R,0210","","","","","     754.0","0","     754.0","R","   1515.1"," ,R","     19.78","R","     25.44","R","     14.12","R"
