"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093057","1998","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","    186.4","","     186.4","W","","","","","","","         0","W","       203","W","         1","W","       162","W","        22","W","  -16.7","W,1208, ","","","   37.2","W,0629, ","-0.6","W,0927","-2.2","W,1005","-7.2","W,1006","-7.2","W,1006","-10.0","W,1110","0.0","W,0619","-2.2","W,0523","-4.4","W,0516","-6.7","W,0421","-9.4","W,0419","","","","","","","      9.45","W","     18.96","W","     -0.06","W","","","","","","","",""
"USW00093057","1999","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","","","","","        66","W","        31","W","         0","W","","","","","","","","","","","","","  25.1"," ,W,0617, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    246.2"," ,W","","","","","","","","","       260","W","","","      28.6","W"
"USW00093057","2000","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","","","","","        75","W","        27","W","         0","W","","","","","","","","","","","","","  20.3"," ,W,0322, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    196.7"," ,W","","","","","","","","","       220","W","","","      23.7","W"
"USW00093057","2001","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","","","","","        88","W","        27","W","         0","W","","","","","","","","","","","","","  11.2"," ,W,0804, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    203.1"," ,W","","","","","","","","","       270","W","","","      27.7","W"
"USW00093057","2002","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","       3.7","W","    276.5","","     276.5","W","        76","W","        29","W","         1","W","         8","W","       184","W","         9","W","       183","W","        45","W","  -21.7","W,1220, ","  41.7"," ,W,0909, ","   36.7","W,0702, ","0.0","W,1003","-2.2","W,1004","-4.4","W,1031","-6.7","W,1106","-10.6","W,1116","0.0","W,0525","-2.2","W,0512","-5.6","W,0502","-7.8","W,0422","-9.4","W,0321","    3267.4","4","    3267.4","W","    256.3"," ,W","      9.76","W","     19.43","W","      0.09","W","       260","W","       260","W","      20.6","W","      25.9","W"
"USW00093057","2003","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","       3.7","W","","","","","        35","W","        15","W","         0","W","","","","","","","","","","","","","  22.1"," ,W,1112, ","","","","","","","","","","","","","","","","","","","","","","","    3231.2","2","    3231.2","W","    142.2"," ,W","","","","","","","       120","W","       130","W","      17.9","W","      23.7","W"
"USW00093057","2004","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","","","","","        66","W","        22","W","         0","W","","","","","","","","","","","","","  20.8"," ,W,0724, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    191.4"," ,W","","","","","","","","","       300","W","","","      27.7","W"
"USW00093057","2005","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","       3.8","B","    223.5","","     223.5","B","        73","B","        26","B","         0","B","         3","B","       178","B","         1","B","       168","B","        37","B","  -18.9","B,1208, ","  14.0"," ,B,0804, ","   37.2","B,0720, ","0.0","B,0914","-3.3","B,1012","-4.4","B,1030","-7.8","B,1113","-9.4","B,1117","-2.8","W,0513","-2.8","W,0513","-6.1","W,0512","-6.7","W,0413","-8.9","W,0402","","","","","    186.2"," ,B","     10.29","B","     19.91","B","      0.66","B","       260","B","       250","B","      19.7","B","      23.7","B"
"USW00093057","2006","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","       3.8","W","","","","","        66","W","        35","W","         0","W","","","","","","","","","","","","","  18.8"," ,W,0822, ","","","","","","","","","","","","","","","","","","","","","","","    3078.7","7","    3078.7","W","    293.5"," ,W","","","","","","","       300","W","       160","W","      19.7","W","      27.7","W"
"USW00093057","2007","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","       3.6","W","    272.7","","     272.7","W","        62","W","        26","W","         1","W","         6","W","       188","W","        16","W","       184","W","        38","W","  -20.5","W,0103, ","  33.0"," ,W,0827, ","   36.7","W,0703, ","0.0","W,0925","-3.8","W,1007","-5.5","W,1020","-7.1","W,1022","-13.8","W,1125","-2.1","W,0608","-3.8","W,0507","-4.9","W,0420","-13.8","W,0304","-13.8","W,0304","","","","","    221.3"," ,W","      9.93","W","     19.47","W","      0.38","W","       300","W","       210","W","      20.1","W","      35.3","W"
