"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094080","2005","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    228.8","","     228.8","R","        91","R","        40","R","         5","R","        30","R","       159","R","        64","R","       100","R","        15","R","  -32.5","R,0114, ","  51.2"," ,R,0810, ","   35.8","R,0909, ","-0.5","R,1004","-3.2","R,1005","-9.7","R,1006","-9.7","R,1006","-9.7","R,1006","0.0","R,0515","-3.5","R,0511","-6.3","R,0503","-11.4","R,0325","-11.4","R,0325","","","","","    525.6"," ,R","      6.69","R","     12.32","R","      1.07","R"
"USW00094080","2006","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    342.1","","     342.1","R","        84","R","        31","R","         1","R","        10","R","       180","R","        54","R","       125","R","        29","R","  -30.0","R,0217, ","  28.0"," ,R,0418, ","   39.9","R,0712, ","-0.8","R,0919","-2.8","R,1010","-6.9","R,1011","-6.9","R,1011","-9.2","R,1030","-3.3","R,0505","-3.3","R,0505","-5.7","R,0407","-7.0","R,0324","-9.6","R,0323","    4156.8","8","    4156.8","R","    326.7"," ,R","      7.61","R","     13.73","R","      1.48","R"
"USW00094080","2007","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    321.8","","     321.8","R","        83","R","        42","R","         2","R","        25","R","       159","R","        69","R","       113","R","        21","R","  -28.0","R,0215, ","  45.5"," ,R,0513, ","   39.6","R,0723, ","-2.5","R,0914","-2.5","R,0914","-5.7","R,1027","-8.5","R,1105","-9.8","R,1106","-4.1","R,0413","-4.1","R,0413","-5.7","R,0412","-8.1","R,0409","-11.2","R,0408","    4516.8","8","    4516.8","R","    414.7"," ,R","      6.89","R","     13.04","R","      0.75","R"
"USW00094080","2008","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    270.3","","     270.3","R","        98","R","        35","R","         0","R","        42","R","       179","R","        61","R","       110","R","        18","R","  -31.8","R,1215, ","  18.9"," ,R,0509, ","   37.9","R,0830, ","-0.3","R,1011","-2.5","R,1012","-4.9","R,1023","-9.6","R,1027","-9.6","R,1027","-0.5","R,0510","-2.5","R,0503","-5.0","R,0428","-7.8","R,0421","-10.0","R,0323","    4706.2","2","    4706.2","R","    320.0"," ,R","      5.66","R","     12.06","R","     -0.74","R"
"USW00094080","2009","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    143.0","","     143.0","R","       109","R","        40","R","         3","R","        36","R","       182","R","        87","R","       103","R","         8","R","  -31.1","R,1215, ","  45.7"," ,R,0708, ","   35.5","R,0812, ","-0.3","R,1005","-2.7","R,1008","-6.1","R,1009","-6.9","R,1010","-12.6","R,1202","-2.7","R,0516","-2.7","R,0516","-5.3","R,0407","-10.0","R,0406","-10.0","R,0406","    4990.0","0","    4990.0","R","    462.9"," ,R","      4.84","R","     10.49","R","     -0.81","R"
"USW00094080","2010","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","","","","","       108","R","        46","R","         4","R","","","","","","","","","","","","","  48.0"," ,R,0602, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    560.1"," ,R","","","","","",""
"USW00094080","2011","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    233.8","","     233.8","R","       110","R","        49","R","         5","R","        32","R","       173","R","        74","R","       100","R","         8","R","  -32.1","R,0201, ","  39.4"," ,R,0805, ","   35.8","R,0629, ","-0.2","R,0915","-3.3","R,1025","-4.5","R,1026","-8.7","R,1102","-9.4","R,1108","-2.7","R,0502","-2.7","R,0502","-9.1","R,0420","-9.1","R,0420","-9.1","R,0420","    5162.2","2","    5162.2","R","    581.1"," ,R","      5.59","R","     11.17","R","      0.01","R"
"USW00094080","2012","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    358.5","","     358.5","R","        96","R","        41","R","         1","R","        16","R","       162","R","        57","R","       129","R","        26","R","  -26.3","R,0118, ","  26.0"," ,R,1003, ","   39.4","R,0719, ","-0.2","R,0922","-6.2","R,1005","-6.2","R,1005","-7.0","R,1006","-14.9","R,1110","-1.2","R,0511","-2.8","R,0418","-6.5","R,0410","-8.9","R,0307","-8.9","R,0307","    3912.3","3","    3912.3","R","    319.1"," ,R","      7.96","R","     14.38","R","      1.53","R"
"USW00094080","2013","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    222.7","","     222.7","R","       104","R","        43","R","         6","R","        28","R","       191","R","        81","R","       112","R","        13","R","  -32.0","R,1207, ","  44.2"," ,R,1011, ","   35.2","R,0830, ","-3.6","R,1005","-3.6","R,1005","-7.2","R,1028","-7.2","R,1028","-9.9","R,1105","-1.2","R,0504","-4.0","R,0502","-5.1","R,0501","-8.2","R,0423","-9.8","R,0418","    4738.3","3","    4738.3","R","    562.3"," ,R","      5.45","R","     11.13","R","     -0.24","R"
"USW00094080","2014","46.8946","-103.3769","844.6","MEDORA 7 E, ND US","    144.6","","     144.6","R","        95","R","        51","R","         2","R","        40","R","       171","R","        76","R","        98","R","         3","R","  -28.9","R,0106, ","  87.2"," ,R,0815, ","   33.3","R,0720, ","-1.9","R,0912","-2.9","R,1003","-5.4","R,1108","-7.3","R,1109","-13.8","R,1110","-0.2","R,0512","-3.5","R,0417","-6.2","R,0416","-9.8","R,0404","-9.8","R,0404","    5057.0","0","    5057.0","R","    554.5"," ,R","      5.11","R","     10.89","R","     -0.67","R"
