"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"UY000001182","1981","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        62","I","        56","I","        17","I","  85.0"," ,I,0204, ","   1233.0"," ,I"
"UY000001182","1982","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        63","I","        56","I","        17","I","  73.0"," ,I,0911, ","   1230.0"," ,I"
"UY000001182","1983","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        57","I","        45","I","        13","I"," 147.0"," ,I,0702, ","   1165.0"," ,I"
"UY000001182","1985","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        60","I","        53","I","        21","I"," 130.0"," ,I,0219, ","   1376.0"," ,I"
"UY000001182","1987","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        62","I","        56","I","        16","I"," 118.0"," ,I,0401, ","   1200.0"," ,I"
"UY000001182","1988","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        46","I","        43","I","        12","I"," 102.0"," ,I,0119, ","   1000.7"," ,I"
"UY000001182","1989","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        43","I","        37","I","        12","I","  84.0"," ,I,1025, ","    829.0"," ,I"
"UY000001182","1990","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        82","I","        64","I","        19","I"," 133.0"," ,I,1210, ","   1592.0"," ,I"
"UY000001182","1991","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        59","I","        53","I","        19","I","  77.0"," ,I,0417, ","   1192.0"," ,I"
"UY000001182","1992","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        75","I","        61","I","        18","I"," 102.0"," ,I,0429, ","   1286.7"," ,I"
"UY000001182","1993","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        84","I","        66","I","        24","I"," 106.0"," ,I,0509, ","   1537.0"," ,I"
"UY000001182","1994","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        68","I","        59","I","        11","I","  49.0"," ,I,1214, ","   1032.0"," ,I"
"UY000001182","1995","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        67","I","        53","I","        12","I"," 183.0"," ,I,0227, ","   1247.0"," ,I"
"UY000001182","1996","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        67","I","        55","I","        17","I"," 106.0"," ,I,0126, ","   1145.0"," ,I"
"UY000001182","1997","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        84","I","        70","I","        19","I"," 217.0"," ,I,1222, ","   1824.0"," ,I"
"UY000001182","1998","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        93","I","        79","I","        31","I"," 250.0"," ,I,0307, ","   2420.0"," ,I"
"UY000001182","1999","-31.1","-57.03","105.0","COLONIA LAVALLEJA, UY","        66","I","        53","I","        11","I","  76.0"," ,I,0629, ","    948.0"," ,I"
