"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"UZM00038812","1967","38.8","65.717","376.0","KARSHI, UZ","        56","I","        29","I","         1","I","","","","","","","  27.3"," ,I,0309, ","","","    270.8"," ,I","",""
"UZM00038812","1968","38.8","65.717","376.0","KARSHI, UZ","        57","I","        29","I","         0","I","","","","","","","  18.4"," ,I,0406, ","","","    228.1"," ,I","",""
"UZM00038812","1969","38.8","65.717","376.0","KARSHI, UZ","        75","I","        43","I","         4","I","","","","","","","  31.2"," ,I,0409, ","","","    478.0"," ,I","",""
"UZM00038812","1971","38.8","65.717","376.0","KARSHI, UZ","        31","I","        19","I","         0","I","","","","","","","  13.7"," ,I,0301, ","","","    127.7"," ,I","",""
"UZM00038812","1972","38.8","65.717","376.0","KARSHI, UZ","        64","I","        39","I","         0","I","","","","","","","  25.2"," ,I,0522, ","","","    337.6"," ,I","",""
"UZM00038812","1973","38.8","65.717","376.0","KARSHI, UZ","        53","I","        26","I","         0","I","","","","","","","  19.2"," ,I,0323, ","","","    240.5"," ,I","",""
"UZM00038812","1974","38.8","65.717","376.0","KARSHI, UZ","        42","I","        21","I","         2","I","","","","","","","  30.2"," ,I,0412, ","","","    230.0"," ,I","",""
"UZM00038812","1975","38.8","65.717","376.0","KARSHI, UZ","        42","I","        20","I","         0","I","","","","","","","  18.4"," ,I,0303, ","","","    171.5"," ,I","",""
"UZM00038812","1976","38.8","65.717","376.0","KARSHI, UZ","        52","I","        30","I","         0","I","","","","","","","  25.0"," ,I,0423, ","","","    312.2"," ,I","",""
"UZM00038812","1985","38.8","65.717","376.0","KARSHI, UZ","        35","I","        24","I","         1","I","","","","","","","  29.3"," ,I,0506, ","","","    228.1"," ,I","",""
"UZM00038812","1988","38.8","65.717","376.0","KARSHI, UZ","        43","I","        28","I","         1","I","","","","","","","  25.9"," ,I,0306, ","","","    253.8"," ,I","",""
"UZM00038812","1989","38.8","65.717","376.0","KARSHI, UZ","        39","I","        22","I","         1","I","","","","","","","  30.9"," ,I,0329, ","","","    219.1"," ,I","",""
"UZM00038812","1990","38.8","65.717","376.0","KARSHI, UZ","        50","I","        25","I","         0","I","","","","","","","  14.7"," ,I,0414, ","","","    182.3"," ,I","",""
"UZM00038812","1994","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         6","S","       213","S","       110","S","","","   44.2","S,0803, ","","","     23.80","S"
"UZM00038812","1996","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         4","S","       211","S","       114","S","","","   43.2","S,0729, ","","","     23.86","S"
"UZM00038812","2000","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         2","S","       206","S","       140","S","","","   44.1","S,0624, ","","","     24.76","S"
"UZM00038812","2001","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         4","S","       232","S","       135","S","","","   44.2","S,0629, ","","","     24.98","S"
"UZM00038812","2002","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         9","S","       230","S","       108","S","","","   43.7","S,0810, ","","","     24.07","S"
"UZM00038812","2003","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         2","S","       204","S","       111","S","","","   46.0","S,0720, ","","","     23.36","S"
"UZM00038812","2005","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         4","S","       218","S","       107","S","","","   45.6","S,0622, ","","","     23.88","S"
"UZM00038812","2006","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         6","S","       226","S","       125","S","","","   42.6","S,0722, ","","","     24.33","S"
"UZM00038812","2007","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         2","S","       228","S","       134","S","","","   43.3","S,0623, ","","","     24.62","S"
"UZM00038812","2008","38.8","65.717","376.0","KARSHI, UZ","","","","","","","        28","S","       228","S","       126","S","","","   45.0","S,0801, ","","","     23.68","S"
"UZM00038812","2009","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         0","S","       212","S","        93","S","","","   41.2","S,0727,+","","","     23.68","S"
"UZM00038812","2010","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         3","S","       224","S","       113","S","","","   45.4","S,0716, ","","","     24.99","S"
"UZM00038812","2011","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         5","S","       211","S","       126","S","","","   44.6","S,0806, ","","","     23.40","S"
"UZM00038812","2012","38.8","65.717","376.0","KARSHI, UZ","","","","","","","        16","S","       224","S","       105","S","","","   41.7","S,0818, ","","","     23.40","S"
"UZM00038812","2013","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         7","S","       213","S","       127","S","","","   44.6","S,0729, ","","","     24.35","S"
"UZM00038812","2014","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         7","S","       204","S","       132","S","","","   43.1","S,0628, ","","","     23.50","S"
"UZM00038812","2015","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         2","S","       207","S","       112","S","","","   44.5","S,0703, ","","","     23.96","S"
"UZM00038812","2016","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         6","S","       223","S","       136","S","","","   44.0","S,0726, ","","","     24.75","S"
"UZM00038812","2017","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         4","S","       213","S","       124","S","","","   44.6","S,0708, ","","","     24.13","S"
"UZM00038812","2018","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         4","S","       208","S","       109","S","","","   45.1","S,0722, ","","","     24.40","S"
"UZM00038812","2019","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         0","S","       209","S","       101","S","","","   43.7","S,0719, ","","","     24.32","S"
"UZM00038812","2020","38.8","65.717","376.0","KARSHI, UZ","","","","","","","        10","S","       209","S","       104","S","","","   42.4","S,0605, ","","","     22.89","S"
"UZM00038812","2023","38.8","65.717","376.0","KARSHI, UZ","","","","","","","         7","S","       248","S","       118","S","","","   44.1","S,0713, ","","","     25.54","S"
