"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"VE000009405","1971","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       246","I","       186","I","        40","I"," 114.4"," ,I,0714, ","   3458.7"," ,I"
"VE000009405","1972","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       223","I","       163","I","        47","I"," 114.6"," ,I,0608, ","   3361.5"," ,I"
"VE000009405","1973","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       209","I","       135","I","        31","I"," 157.9"," ,I,0908, ","   2694.9"," ,I"
"VE000009405","1974","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       215","I","       151","I","        27","I","  95.7"," ,I,0729, ","   2691.5"," ,I"
"VE000009405","1975","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       209","I","       134","I","        38","I","  69.0"," ,I,0718, ","   2530.0"," ,I"
"VE000009405","1976","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       213","I","       167","I","        38","I"," 108.4"," ,I,0611, ","   3047.8"," ,I"
"VE000009405","1977","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       199","I","       142","I","        34","I"," 115.7"," ,I,0522, ","   2763.7"," ,I"
"VE000009405","1978","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       180","I","       132","I","        37","I"," 114.8"," ,I,0412, ","   2710.4"," ,I"
"VE000009405","1979","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       193","I","       145","I","        36","I"," 122.2"," ,I,0828, ","   3090.9"," ,I"
"VE000009405","1980","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       191","I","       139","I","        40","I","  93.6"," ,I,0509, ","   2630.2"," ,I"
"VE000009405","1981","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       189","I","       134","I","        28","I"," 122.5"," ,I,0717, ","   2407.6"," ,I"
"VE000009405","1982","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       211","I","       146","I","        44","I"," 114.2"," ,I,0908, ","   3030.4"," ,I"
"VE000009405","1983","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       213","I","       155","I","        46","I"," 132.1"," ,I,0625, ","   3289.9"," ,I"
"VE000009405","1984","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       228","I","       158","I","        38","I"," 122.3"," ,I,0908, ","   3075.6"," ,I"
"VE000009405","1985","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       187","I","       134","I","        40","I"," 136.4"," ,I,0718, ","   3160.6"," ,I"
"VE000009405","1986","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       214","I","       161","I","        44","I","  84.4"," ,I,0527, ","   3276.1"," ,I"
"VE000009405","1987","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       221","I","       150","I","        34","I"," 112.1"," ,I,0801, ","   2874.3"," ,I"
"VE000009405","1988","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       211","I","       145","I","        46","I"," 100.1"," ,I,1006, ","   2968.4"," ,I"
"VE000009405","1989","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       228","I","       160","I","        33","I"," 123.7"," ,I,0522, ","   2931.6"," ,I"
"VE000009405","1990","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       234","I","       171","I","        32","I","  81.0"," ,I,0908, ","   2945.3"," ,I"
"VE000009405","1991","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       234","I","       164","I","        48","I"," 113.5"," ,I,0406, ","   3444.3"," ,I"
"VE000009405","1992","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       201","I","       147","I","        45","I","  81.2"," ,I,0727, ","   2978.4"," ,I"
"VE000009405","1993","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       232","I","       164","I","        57","I"," 141.9"," ,I,0624, ","   3891.5"," ,I"
"VE000009405","1994","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       218","I","       146","I","        40","I","  86.9"," ,I,0705, ","   3040.1"," ,I"
"VE000009405","1996","4.0","-67.67","968.0","SAN FERNANDO ATABAPO, VE","       213","I","       146","I","        43","I"," 123.9"," ,I,0912, ","   3001.8"," ,I"
