"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"WA008704030","1968","-21.22","15.73","1240.0","ETENDERD, WA","        30","I","        26","I","         1","I","  71.0"," ,I,0303, ","    333.0"," ,I"
"WA008704030","1971","-21.22","15.73","1240.0","ETENDERD, WA","        51","I","        32","I","         2","I","  36.0"," ,I,0322, ","    389.2"," ,I"
"WA008704030","1972","-21.22","15.73","1240.0","ETENDERD, WA","        39","I","        32","I","         3","I","  69.0"," ,I,0310, ","    387.1"," ,I"
"WA008704030","1973","-21.22","15.73","1240.0","ETENDERD, WA","        27","I","        21","I","         0","I","  25.0"," ,I,0122, ","    214.9"," ,I"
"WA008704030","1974","-21.22","15.73","1240.0","ETENDERD, WA","        58","I","        42","I","         2","I","  56.0"," ,I,0313, ","    505.0"," ,I"
"WA008704030","1975","-21.22","15.73","1240.0","ETENDERD, WA","        32","I","        25","I","         3","I","  40.5"," ,I,0116, ","    292.5"," ,I"
"WA008704030","1976","-21.22","15.73","1240.0","ETENDERD, WA","        40","I","        26","I","         8","I","  80.5"," ,I,0112, ","    512.7"," ,I"
"WA008704030","1977","-21.22","15.73","1240.0","ETENDERD, WA","        37","I","        21","I","         3","I","  44.5"," ,I,0219, ","    302.8"," ,I"
"WA008704030","1978","-21.22","15.73","1240.0","ETENDERD, WA","        34","I","        23","I","         4","I","  55.0"," ,I,0202, ","    401.4"," ,I"
"WA008704030","1979","-21.22","15.73","1240.0","ETENDERD, WA","        39","I","        24","I","         1","I","  54.0"," ,I,0220, ","    259.8"," ,I"
"WA008704030","1980","-21.22","15.73","1240.0","ETENDERD, WA","        32","I","        25","I","         4","I","  40.0"," ,I,1226, ","    345.0"," ,I"
"WA008704030","1981","-21.22","15.73","1240.0","ETENDERD, WA","         9","I","         4","I","         1","I","  42.5"," ,I,0409, ","     63.0"," ,I"
"WA008704030","1982","-21.22","15.73","1240.0","ETENDERD, WA","        33","I","        22","I","         5","I","  48.0"," ,I,1202, ","    289.9"," ,I"
"WA008704030","1983","-21.22","15.73","1240.0","ETENDERD, WA","        28","I","        22","I","         1","I","  31.0"," ,I,1124, ","    218.2"," ,I"
"WA008704030","1984","-21.22","15.73","1240.0","ETENDERD, WA","        30","I","        28","I","         0","I","  23.0"," ,I,0205, ","    257.7"," ,I"
"WA008704030","1985","-21.22","15.73","1240.0","ETENDERD, WA","        28","I","        27","I","         6","I","  67.0"," ,I,0204, ","    457.5"," ,I"
